Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4899402,Unit 505 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,400,000","$1,281,748",2020-09-05,2 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$689/month,New,1000-1199 feet²,None,water,55 days,15 day(s),2020-09-04,2020-09-05,"$2,590",1.68%,Millwood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",N,Toronto,"One Of A Kind 2 Bedroom Suite In This 7 Storey Boutique Building By Master Builder Shane Baghai In Leaside. Smart Home Devices, Imported Cabinets And Vanities, 10"" Baseboards, 250Kw Generator In Case Of A Power Outage For All Residences And Entire Building. Finest Schools & One Of Toronto's Best Shopping Districts. Building Offers Exclusive Access To All The Luxury Amenities You Need, There Is Even A Grooming Room For Your Pet."
C4791240,Unit 603 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,278,000","$1,314,822",2020-10-14,2 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$721/month,New,1000-1199 feet²,None,water,140 days,15 day(s),2020-06-12,2020-10-14,"$2,590",1.67%,Millwood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",E,Toronto,"Custom Designed W/Quality Features Affiliated With Shane Baghai's Brand. Exclusive Boutique Building In Friendly Leaside Neighbourhood With Easy Accessibility To Shopping, Restaurants, Lrt, Hospital & Downtown. Latest Energy Saving Led Lighting, 250 W Generator In Case Of Power Outage For The Entire Building & Residences. Smart Home Devises. This Is Refined Luxury At Its Best."
C4886665,Unit 406 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,350,000","$1,351,820",2020-10-15,2 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$698/month,New,900-999 feet²,None,"water,heat",64 days,14 day(s),2020-08-26,2020-10-15,"$2,688",1.67%,Millwood/Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Security System, Visitor Parking",Nw,Toronto,One Of A Kind Brand New And Bright Corner Suite With Ultimate Luxury In This 7 Story Boutique Building Within Walking Distance To All Amenities. Live Amongst The Best Shopping Districts And Ten Minutes Drive To Downtown Toronto Via Bayview Extension.
C4955026,Unit 604 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,283,141","$1,290,076",2020-10-19,2 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$688/month,New,1000-1199 feet²,None,"water,heat",15 days,14 day(s),2020-10-15,2020-10-19,"$2,583",1.67%,Millwood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",Ne,Toronto,"Bright 2 Bedroom Corner Suite W/2 Balconies...1129 Sqft... In This 7 Storey Boutique Building By Master Builder Shane Baghai. Floor To Ceiling Windows In Lr, Imported Italian Cabinets And Vanities, Smart Home Devices, And Much More. Finest Schools & One Of Toronto's Best Shopping Districts. Building Offers Exclusive Access To All The Luxury Amenities You Need, There Is Even A Grooming Room For Your Pet."
C4955036,Unit 503 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,290,141","$1,305,750",2020-10-19,2 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$692/month,New,1000-1199 feet²,None,"water,heat",14 days,14 day(s),2020-10-15,2020-10-19,"$2,583",1.65%,Millwood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",E,Toronto,"One Of A Kind 2 Bedroom Suite In This 7 Storey Boutique Building By Master Builder Shane Baghai. Established In A Perfect Blend Of Style & Community Charm That Is Home To Lucious Green Space & Parkland. Finest Schools & One Of Toronto's Best Shopping Districts. Building Offers Exclusive Access To All The Luxury Amenities You Need, There Is Even A Grooming Room For Your Pet...1136 Sqft."
C4955199,Unit 504 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,385,000","$1,375,826",2020-10-15,2 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$801/month,New,1000-1199 feet²,None,"water,heat",15 days,14 day(s),2020-10-15,2020-10-15,"$2,688",1.55%,Millwood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",Ne,Toronto,"The Leaside Manors Condos Is Latest Creation Of Visionary Developer Shane Baghai. No Expense Has Been Spared In The Construction Of This Project. Miele Appliances, Italian Imported Kitchens, Automatic Toto Toilets, Imported Spanish Floors, Linear Gas Fireplaces,And Terrace Gas Lines + Webber Bbq's; Are Only A Few Of The Features That This Building Boasts. This Model Suite Has Been Finished With Upgraded Flooring And Designer Finishes. A True Show Stopper!"
C4955278,Unit 306 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,424,000","$1,428,758",2020-10-15,2+1 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$820/month,New,1000-1199 feet²,None,"water,heat",14 days,14 day(s),2020-10-15,2020-10-15,"$2,717",1.5%,Millwood/Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Security System, Visitor Parking",Nw,Toronto,"The Leaside Manors Condos Is Latest Creation Of Visionary Developer Shane Baghai. No Expense Has Been Spared In The Construction Of This Project. Miele Appliances, Italian Imported Kitchens, Automatic Toto Toilets, Imported Spanish Floors, Linear Gas Fireplaces,And Terrace Gas Lines + Webber Bbq's; Are Only A Few Of The Features That This Building Boasts. This Suite In Particular Features The Largest Remaining Terrace In The Building; Ideal For Entertainment."
C4899018,Unit 302 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,520,141","$1,502,576",2020-10-14,3 Bedrooms,3 Bathrooms,0 Garage,$ 2,"Condo Apt, Apartment",$898/month,New,1400-1599 feet²,None,water,55 days,15 day(s),2020-09-04,2020-10-14,"$2,723",1.38%,Mill Wood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Security System, Visitor Parking",Se,Toronto,"Corner Suite With 3 Exposures( Wse) And3 Balconies In This Exclusive 7 Story Boutique Building In Leaside W/ Luxury Finishes Associated With Master Builder Shane Baghai. Latest Energy Saving Led Lighting, 250 Kw Generator In Case Of A Power Outage For The Entire Building And Residences, Smart Homes Devices.Maintenance Includes Internet.Parkin, Locker Extra."
C4955042,Unit 501 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,555,141","$1,566,100",2020-10-19,2+1 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$929/month,New,1200-1399 feet²,None,"water,heat",14 days,14 day(s),2020-10-15,2020-10-19,"$2,785",1.34%,Millwood/Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",Sw,Toronto,"Exclusive 7 Storey, 38 Suite Boutique Building In Leaside W/Luxury Finishes Associated With Master Builder Shane Baghai. Latest Energy Saving Led Lighting, Smart Home Devices, 250 Kw Generator In Case Of A Power Outage For The Entire Building & Suites. ....1377 Sqft."
C4789877,Unit Ph02 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,665,140","$1,676,681",2020-10-22,3 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$895/month,New,1400-1599 feet²,None,water,140 days,15 day(s),2020-06-11,2020-10-22,"$2,728",1.2%,Millwood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",Sw,Toronto,"One Of A Kind Penthouse Suite W/Wrap Around Terrace In This 7 Storey Boutique Building By Master Builder Shane Baghai. Established In A Perfect Blend Of Style & Community Charm That Is Home To Lucious Green Space & Parkland. Finiset Schools & One Of Toronto's Best Shopping Districts. Building Offers Exclusive Access To All The Luxury Amenities You Need, There Is Even A Grooming Room For Your Pet"
C4898510,Unit 402 - 3 Southvale Dr,Leaside - Toronto,Condo Apt,"$ 1,760,000","$1,705,400",2020-10-14,3 Bedrooms,3 Bathrooms,2 Garage,$ -,"Condo Apt, Apartment",$1053/month,New,1400-1599 feet²,None,water,56 days,15 day(s),2020-09-03,2020-10-14,"$2,698",1.07%,Millwood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",Se,Toronto,Ultimate Luxury In This 7 Storey Boutique Building Within Walking Distance To All Amenities. Ten Minute Drive To Downtown Toronto Via Bayview Extension. Building Offers Exclusive Access To All The Luxury Amenities.
C4963575,(Address not available),Leaside - Toronto,Condo Apt,"$ 1,800,000","$1,803,514",2020-10-27,2 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$1041/month,New,1200-1399 feet²,None,"water,heat",7 days,14 day(s),2020-10-22,2020-10-26,"$2,688",1.03%,Millwood/ Laird,"Bbqs Allowed, Bike Storage, Bus Ctr (Wifi Bldg), Exercise Room, Party/Meeting Room, Visitor Parking",Se,Toronto,One Of A Kind Brand New Penthouse Suite W/Wrap Around Terrace. Ultimate Luxury By Renowned Builder Shane Baghai In This 7 Story Boutique Building Within Walking Distance To All Amenities. Ten Minute Drive To Downtown Toronto Via Bayview Extension. Building Offers Exclusive Access To All The Luxury Amenities You Need. Established In A Perfect Blend Of Style & Community Charm That Is Home To Lucious Green Space & Parkland. Open Concept Lr/Dr & Kitchen.
C4965968,Unit 1405 - 215 Queen St,University - Toronto,Condo Apt,"$ 949,000","$933,767",2020-10-23,3 Bedrooms,2 Bathrooms,1 Garage,"$ 3,757","Condo Apt, Apartment",$795/month,-,700-799 feet²,None,"water,heat",6 days,25 day(s),2020-10-23,2020-10-23,"$3,762",3.07%,Queen St / University,,Ne,Toronto,"Fantastic Location At Queen & University!! This One Year New Luxurious Beautiful 3 Bedroom Ne Corner Unit, Features Huge Floor To Ceiling Windows Offering Amazing City Views & Lots Of Natural Light, A Lovely Layout, Wood Flooring Throughout, Top Of The Line Integrated Appliances, Ample Closet Space. Functional Smart Design W/ Kitchen Counter & Dinette Table. Steps To Osgoode Subway Station, Eaton Centre, 24/7 Queen St Ttc Streetcar. Near Entertainment ***"
C4925105,Unit 2001 - 488 University Ave,University - Toronto,Condo Apt,"$ 929,000","$908,677",2020-09-24,2 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$533/month,New,600-699 feet²,None,heat,37 days,22 day(s),2020-09-23,2020-09-24,"$2,813",2.78%,University And Dundas,"Concierge, Gym, Indoor Pool, Party/Meeting Room",N,Toronto,"This One Can't Be Missed! Brand New Luxury Building In The Heart Of Downtown With Immediate Subway Access And Unlimited Restaurant And Shopping Options Just Steps Away. Upgraded 689Sf 2 Bed Condo, Large Balcony And 2 Full Baths With Wall To Wall Marble! High-End Finishes Throughout, Upgraded Closets, Smart Home Control And Fantastic Views. Building Boasts Hotel-Like Amenities: Indoor Swimming Pool, Gym, And Concierge."
C4932620,Unit 2615 - 488 University Ave,University - Toronto,Condo Apt,"$ 898,800","$868,959",2020-10-19,1+1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$502/month,0-5,600-699 feet²,None,heat,32 days,22 day(s),2020-09-28,2020-10-19,"$2,560",2.71%,University And Dundas,"Concierge, Exercise Room, Indoor Pool, Media Room, Party/Meeting Room",W,Toronto,"World Class Designed Condo. Multiple International Awards Received By Ii By Iv ( See Attached ) Plan, Finishes, Upgrades . Breathtaking Views From Every Room. Spa Bath W/Mirror Tv. Direct Access To St. Patrick's Subway And Underground Path. Skyclub Offers Gym, Pool, Sauna, Lounge. Skybar Offers Spa-Inspired Cuisine"
C4969734,Unit 4711 - 488 University Ave,University - Toronto,Condo Apt,"$ 888,000","$862,300",2020-10-28,1+1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$480/month,New,600-699 feet²,None,"water,heat",2 days,25 day(s),2020-10-28,2020-10-28,"$2,560",2.65%,University & Dundas,"Concierge, Gym, Indoor Pool, Recreation Room, Rooftop Deck/Garden, Sauna",W,Toronto,"Stunning Brand New 1 Bed+Den. Prime Location With Direct Access To St-Patrick Subway Station.9 Ft Ceilings High-End Kitchen With Granite Counter Tops & Integrated Appl. Wood Flr Throughout. W/I Closet With Organizers In Bedroom. Spa Like Bathroom With Free Standing Tub, Glass-Enclosed Shower & Marble Flooring. Breathtaking Lake & City Views. Close To Major Hospitals, Eaton Centre, Queen's Park. 5 Star Amenities Incl 24Hr Concierge, Pool, Exercise Room."
C4955468,Unit 228 - 783 Bathurst St,University - Toronto,Condo Apt,"$ 898,000","$855,149",2020-10-22,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,244","Condo Apt, Apartment",$669/month,-,800-899 feet²,None,"water,heat",14 days,25 day(s),2020-10-15,2020-10-22,"$3,100",2.73%,Bathurst/Bloor,"Bus Ctr (Wifi Bldg), Concierge, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",E,Toronto,"The B. Streets Condos Conveniently Located In A Hot Spot For Toronto's Urban Living! Don't Miss Out On This Wonderful, Bright & Spacious, Functional 2 Bedroom 2 Bathroom Suite Steps Away From Bathurst And Bloor Subway, Shops, Restaurants And All The Vibrancy And Life The Annex Has To Offer. Enjoy The Beautifully Integrated Appliances, Quartz Countertops, Custom Cabinetry, Large Balcony, Urban Chic Finishes Throughout & Nine Foot Floor-To-Ceiling Windows."
C4949305,Unit 4012 - 488 University Ave,University - Toronto,Condo Apt,"$ 855,000","$901,393",2020-10-13,1+1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$477/month,-,600-699 feet²,None,"water,heat",19 days,25 day(s),2020-10-10,2020-10-10,"$2,560",2.54%,University & Dundas,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Security Guard",W,Toronto,"Stunning Brand New,Never Lived In 1 Bed+Den.Prime Location With Direct Access To St-Patrick Subway Station.High-End Kitchen With Quartz Counter Tops & Integrated Appl. Wood Flr Throughout. W/I Closet With Organizers In Bedroom.Spa Like Bathroom With Free Standing Tub, Glass-Enclosed Shower & Marble Flooring.Breathtaking Lake & City Views. Close To Major Hospitals,Eaton Centre,Queen's Park.5 Star Amenities Incl 24Hr Concierge,Pool & Exercise Room!"
C4935177,Unit 3102 - 488 University Ave,University - Toronto,Condo Apt,"$ 1,428,888","$1,492,384",2020-10-12,3 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$807/month,New,1000-1199 feet²,None,heat,28 days,25 day(s),2020-10-01,2020-10-09,"$4,200",2.49%,University Ave. & Dundas St. W,"Concierge, Exercise Room, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna",Ne,Toronto,"Love The City And Urban Greenery? Look No Further! This Practical 3 Bdrm Unit Provides A Unobstructed View Of The City's Skyline, A Hint Of Water, A Direct View Of Queens Park. Practical Layout W/ No Wasted Space And Flr To Ceiling Wndws W/ Lots Of Natural Light. Sizable Bdrms W/ Ample Storage. Direct Subway Access To St. Patrick's Station. Steps Awy To Hospitals, U Of T, Ryerson, Queens Park, Eaton Centre & Financial District. Furniture Not Included."
C4949476,Unit 1105 - 215 Queen St W,University - Toronto,Condo Apt,"$ 899,000","$889,981",2020-10-20,3 Bedrooms,2 Bathrooms,0 Garage,"$ 3,775","Condo Apt, Apartment",$795/month,0-5,700-799 feet²,None,"water,heat",19 days,25 day(s),2020-10-10,2020-10-20,"$3,422",2.54%,Queen/ Simcoe,,E,Toronto,"Live In The Heart Of The City! Gorgeous Views! Walk Anywhere You Want. Ttc At Your Door. 1 Yr Old Building. Don't Miss Out!! Corner Unit, 2 Balconies, Clear Views Of Dt."
C4958010,Unit 1402 - 280 Simcoe St,University - Toronto,Condo Apt,"$ 899,900","$908,411",2020-10-21,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,950","Condo Apt, Apartment",$1101/month,31-50,1400-1599 feet²,None,"water,hydro,heat",12 days,25 day(s),2020-10-17,2020-10-21,"$3,452",2.36%,W. University / S. Dundas,"Bbqs Allowed, Concierge, Exercise Room, Indoor Pool, Rooftop Deck/Garden, Visitor Parking",Ne,Toronto,"Downtown Luxury Condo. Newly Painted. Approx. 1,498 Sq. Ft., Northeast Corner Unit. High Floor, 2 Split Bedrooms. 2 Washrooms, A Lot Of Storage & Closet Space. Bright Move-In Condition. Well Maintained Building, Lots Of Amenities. Steps To Ocad, Hospitals, U Of T, Dental School, City Hall, China Town. 1 Min. Walk To Subway Station."
C4957899,Unit 2116 - 488 University Ave,University - Toronto,Condo Apt,"$ 1,325,000","$1,313,256",2020-10-17,3+1 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$879/month,New,1200-1399 feet²,None,heat,13 days,25 day(s),2020-10-16,2020-10-17,"$3,718",2.36%,University & Dundas,"Bike Storage, Exercise Room, Indoor Pool, Media Room, Party/Meeting Room",Nw,Toronto,"Welcome To The Residences Of 488 University Ave, Award Winning Building In The Heart Of The City. You'll Love This Sun Filled Luxury Corner 3 Bedroom+Den Suite With Flr To Ceiling Windows Offering Spectacular Unobstructed City Views. Imagine Yourself Enjoying The Open Concept, Premier Kitchen & 5Pc Master Ensuite. Direct Access To The Subway, Steps To Uhn Hospitals, U Of T, Ryerson, Queens Park & Financial District. Addvalet Parking & World Class Amenities"
C4792593,Unit 1606 - 426 University Ave,University - Toronto,Condo Apt,"$ 625,000","$630,848",2020-07-09,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,082","Condo Apt, Apartment",$379/month,0-5,500-599 feet²,None,"water,heat",138 days,14 day(s),2020-06-13,2020-07-08,"$1,917",2.45%,University/Dundas,"Concierge, Exercise Room, Party/Meeting Room, Recreation Room, Security System",S,Toronto,"Residences At Rcmi On University. Landmark Tower Built By Renowned Builder Tribute. On Top Of The Royal Canadian Military Institute. Gorgeous South Facing Sunshine Unit, 9 Ft Ceiling. Steps To U Of T, St. Patrick Subway Station, College, Etc. Walking Distance To Theaters, Restaurants, Eaton Center, Financial Centers! Walk Score 100! Large Balcony Over Looking City View And Far Away Ontario Lake View. Prime Dt Location With The Front Entrance On University."
