Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
E4933984,Unit 304 - 1238 Dundas St E,South Riverdale - Toronto,Condo Apt,"$599,000","$653,768",2020-09-30,"$635,000",2 Bedrooms,2 Bathrooms,1 Garage,"$2,454","Condo Apt, Apartment",$552/month,-,700-799 feet??,None,water,7 days,11 day(s),2020-09-30,2020-10-07,"$2,972",3.90%,Carlaw & Dundas,,S,Toronto,"Gorgeous Open Concept South Facing Suite In The Coveted Taylor Boutique Loft Style Building. This Split Plan, Spacious 2 Bedrooms, 2 Baths Is The One You've Been Waiting For. Filled With An Abundance Of Natural Light. Exposed Concrete Ceilings, Sleek Stylish Modern European Kitchen With Walk Out To Spacious Balcony With Gas Bbq Hookup That Overlooks The Treetops Of The Neighbourhood. Stroll To Leslieville Shops, Restaurants & Parks."
C4932103,Unit 407 - 205 Manning Ave,Trinity-Bellwoods - Toronto,Condo Apt,"$599,000","$615,617",2020-09-29,"$603,000",1 Bedrooms,1 Bathrooms,0 Garage,"$2,165","Condo Apt, Apartment",$492/month,0-5,500-599 feet??,None,"water,heat",8 days,15 day(s),2020-09-29,2020-10-09,"$2,200",2.80%,Dundas And Bathurst,"Bike Storage, Gym, Party/Meeting Room, Security System, Visitor Parking",S,Toronto,"Stylish 1 Bedroom Condo At Boutique Nero In Heart Of Trinity Bellwoods. Expansive South Views Of Cn Tower & Skyline From A True Juliet Balcony. Premium Built-In Kitchen Appliances Including Gas Stove. Locker Included. Exposed Concrete Wall & Black-White Cabinets/Bath. Functional Layout With Many Ways To Make It Your Own Home & Work-From-Home Space. Awesome Location! Steps From Shops, Restaurants, Ttc & The Best Park In Toronto."
C4931115,Unit 515 - 22 Leader Lane,Church-Yonge Corridor - Toronto,Condo Apt,"$649,900","$647,262",2020-09-28,"$638,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$3,136","Condo Apt, Apartment",$832/month,-,700-799 feet??,None,"water,heat",9 days,22 day(s),2020-09-28,2020-10-08,"$2,076",1.59%,King/Yonge,"Concierge, Guest Suites, Gym, Party/Meeting Room, Security Guard, Security System",E,Toronto,"John Lennon, Elizabeth Taylor, Meghan Markle. Live In The Home Of Icons Both Past And Present At The Historic King Edward Hotel. 735 Sqft Of Luxury In A 1+1 Bedroom Suite With 10 Ft Ceilings, High End Finishes & A Rarely Offered East Facing Balcony Over A Quiet Courtyard For 120 Sqft Of Extra Living Space At The Best Value Per Sqft In The Building. 1 Min Walk To King Subway, Union, Go Trains, Berczy Park & Waterfront. Access To Upscale Hotel Amenities."
C4930589,Unit 803 - 32 Camden St,Waterfront Communities C1 - Toronto,Condo Apt,"$699,000","$710,181",2020-09-28,"$720,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$2,765","Condo Apt, Loft",$542/month,-,700-799 feet??,None,"water,heat",9 days,20 day(s),2020-09-28,2020-10-07,"$2,533",2.74%,Spadina/Richmond/Adelaide,"Bike Storage, Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Security System, Visitor Parking",N,Toronto,"Welcome Home To Your Spacious, Sun-Filled & Boutique-Style Downtown Loft! Very Rarely Offered & Highly Coveted Corner Suite Has Open Layout, Soaring Ceilings, Floor To Ceiling Windows, Upgraded Lights, Large Den & Huge Outdoor Balcony With Dbl Sliding Doors. With Only 87 Suites, And Located In The Heart Of King/Queen West, Thirty-Two Camden Lofts Is Intimate Living That Is Steps From The Best Shopping, Dining, And Entertainment T.O. Has To Offer. Won't Last!"
W4928307,411 Symington Ave,Weston-Pellam Park - Toronto,Semi-Detached,"$699,000","$755,462",2020-09-25,"$710,000",4 Bedrooms,1 Bathrooms,2 Garage,"$3,676","Semi-Detached, 2 1/2 Storey",,-,1750 feet?? (SigmaEstimate??),"Full, Unfinished",,12 days,9 day(s),2020-09-25,2020-10-08,"$2,324",3.11%,Dupont St./Symington,,E,Toronto,Attention Renovators + Developers. Original Condition. Semi Cleaned Out And Ready To Make Your Own. House Backs Onto An Alley. Potential Opportunity For Alley Home In Back. Buyer To Check With City Regarding Potential For Alley Home. House Is Being Sold In As Is Where Is Condition.
C4927552,8 Dublin St,Dufferin Grove - Toronto,Semi-Detached,"$699,000","$905,562",2020-10-01,"$750,000",3 Bedrooms,3 Bathrooms,1 Garage,"$4,250","Semi-Detached, 2-Storey",,100+,1100-1500 feet??,Unfinished,,13 days,11 day(s),2020-09-24,2020-10-08,"$3,760",4.36%,Lansdowne/Bloor,,N,Toronto,Cozy Home Located In Trendy City Neighborhood. A Stones Throw To Lansdowne/Bloor Including Ttc Subway. Move In Or Modify Adding Your Personal Touches. Parking In The Rear With A Short Walk To Bloor Street Amenities. This Home Has Endless Potential. We Welcome Your Offer.
C4926704,Unit 3808 - 21 Carlton St,Church-Yonge Corridor - Toronto,Condo Apt,"$618,000","$634,759",2020-09-24,"$610,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$2,387","Condo Apt, Apartment",$457/month,-,500-599 feet??,None,"water,heat",13 days,22 day(s),2020-09-24,2020-10-08,"$2,113",2.51%,Yonge/Carlton,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Sauna, Visitor Parking",S,Toronto,"Sunny South Unobstructed City And Water View. Enjoy All Of Toronto's Conveniences At Your Doorstep. Subway, Shopping, Universities, Restaurants, Etc. Fantastic Floorplan, 1 Bedroom And Den. Den Can Be Second Bedroom/Office. Upgraded Laminate Floor In The Master And Den. Renovated Washroom."
C4917868,Unit 618 - 70 Roehampton Ave,Mount Pleasant West - Toronto,Condo Apt,"$688,000","$681,278",2020-09-30,"$655,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$2,825","Condo Apt, Apartment",$420/month,-,600-699 feet??,None,water,20 days,17 day(s),2020-09-17,2020-10-08,"$2,142",2.44%,Yonge / Eglinton,"Concierge, Guest Suites, Gym, Party/Meeting Room, Sauna, Visitor Parking",W,Toronto,"Republic By Tridel. Stunning Luxury Suite. Prime Location At Yonge/Eglinton. 1 Bedroom And Den With Parking And Storage Locker, Clear Unobstructed West View. Stainless Steel Kitchen Appliances, Kitchen Island With Granite Counter. State Of The Art Amenities. 5 Minute Walk To Subway, Restaurants, Shops."
C4903136,Unit 816 - 637 Lake Shore Blvd W,Niagara - Toronto,Condo Apt,"$699,900","$700,942",2020-09-23,"$695,000",1 Bedrooms,1 Bathrooms,1 Garage,"$2,600","Condo Apt, Loft",$498/month,15-Nov,600-699 feet??,Other,water,29 days,14 day(s),2020-09-08,2020-10-10,"$2,215",2.42%,Lake Shore/Bathurst,"Bike Storage, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",N,Toronto,"Bishop & Millers 1920'S Art Deco Masterpiece! Tip Top Lofts, Located On Toronto's Waterfront, Bright, Sun Filled 2 Story Loft, Approx 638 Sq/Ft. Features W/O Private Balcony, S/S Appliances, Premium Parking Space & Locker. Steps To Mark Goodman Waterfront Trail, New Flagship Lablaws/Retail. Top Shelf Gym, Party Room & Communal Roof Top Terrace. Walk To Park, Off Leash Dog Park, Lake, Ferry, Island Airport, Budweiser Stage, Bmo Field, Queens Quay Shops & Rest"
C4901687,Unit 1607 - 285 Mutual St,Church-Yonge Corridor - Toronto,Condo Apt,"$657,900","$657,699",2020-09-30,"$642,000",1+1 Bedrooms,1 Bathrooms,1 Garage,"$2,685","Condo Apt, Apartment",$718/month,15-Nov,700-799 feet??,None,"water,heat",29 days,22 day(s),2020-09-08,2020-10-08,"$2,199",2.05%,Jarvis/Carlton,"Concierge, Exercise Room, Party/Meeting Room, Recreation Room, Sauna",S,Toronto,"Radio City. A Bright And Spacious 16th Floor 1 + 1 Condo. Spectacular Views. The Floorplan Is Unique, With No Wasted Space. 9' High Ceilings. Stainless Steel Appliances, Wood- Tiled Large Balcony, Huge Floor-Ceiling Windows In The Bedroom, Suite Is One Of The Larger 1+1'S In Bldg, Den Has Been Used As A 2nd Bdrm With Closet! Parking And Locker Included. Fabulous Amenities, And A Wonderful Community."
C4891637,Unit Th33 - 80 Carr St,Kensington-Chinatown - Toronto,Condo Townhouse,"$689,000","$707,270",2020-09-25,"$655,000",2 Bedrooms,1 Bathrooms,1 Garage,"$2,501","Condo Townhouse, Stacked Townhse",$473/month,-,700-799 feet??,None,water,37 days,11 day(s),2020-08-31,2020-10-07,"$2,775",3.41%,Queen And Bathurst,,N,Toronto,"Perfectly Located @ Queen & Bathurst Between Trendy Queen West & Kensington Market. Open Concept Home Offers 2 Bedrooms,1 Bath, Kitchen Equipped With Stainless Steel Appliances, Pantry For Ample Storage, A Beautiful Terrace With Bbq Gas-Line. Steps To The Park, Queen St, Kensington, Bellwoods, 24 Hr Transit At Doorstep, & Parking Included And Entrance To Underground Parking Conveniently Located In Front Of The Unit! - Peaceful Downtown Living At Its Best!"
W4933938,341 Harvie Ave,Caledonia-Fairbank - Toronto,Detached,"$698,000","$738,842",2020-09-30,"$750,000",2 Bedrooms,1 Bathrooms,1 Garage,"$2,969","Detached, Bungalow",,100+,1100-1500 feet??,Unfinished,,6 days,17 day(s),2020-09-30,2020-10-07,"$2,004",2.70%,Eglinton And Caledonia,,E,Toronto,"Situated On A 25 Wide X 150 Deep Lot, This Bright 2 Bedroom Bungalow Is The Perfect Starter Home Or Why Not Build Your Dream Home! It Has The Bonus Of A Private Drive With Parking For 3 Cars, A 4 Piece Bathroom In The Basement And A Recreation Room Which Awaits Your Finishing Touches. This Quiet, Family Friendly Neighbourhood Is Conveniently Located Minutes From The Eglinton Crosstown Lrt And Is In Walking Distances To Schools, Parks, Restaurants, Your Local"
C4932242,Unit 1708 - 8 Charlotte St,Waterfront Communities C1 - Toronto,Condo Apt,"$589,800","$603,778",2020-09-29,"$662,000",1 Bedrooms,1 Bathrooms,0 Garage,"$2,315","Condo Apt, Apartment",$465/month,15-Nov,500-599 feet??,None,water,7 days,20 day(s),2020-09-29,2020-10-08,"$1,875",2.21%,King & Spadina,"Bike Storage, Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",Sw,Toronto,"Bright 1 Bedroom With 2 Lockers In The Luxury ""Charlie"" Condos. Completely Furnished 630 Sqft- 580+50 Sqft Balcony With Unobstructed West Views Of Lake And Beyond. Light Filled, Stunning Finishes. Functional Open Concept Layout, 9' Ceilings, Upgraded Wood Flooring, Bosch Appliances, Floor To Ceiling Windows. Move In Or Use As An Investment Property. Located In The Heart Of Toronto's Entertainment District, Ttc, Financial District, And Top Restaurants."
W4930771,Unit 203 - 1110 Briar Hill Ave,Briar Hill-Belgravia - Toronto,Condo Townhouse,"$629,000","$574,502",2020-09-28,"$610,000",2 Bedrooms,1 Bathrooms,1 Garage,"$2,315","Condo Townhouse, Apartment",$298/month,0-5,700-799 feet??,None,,8 days,23 day(s),2020-09-28,2020-10-06,"$2,235",3.34%,Dufferin / Briar Hill,,E,Toronto,"Absolutely Stunning. Priced To Sell! Just Painted! Upgraded Cabinets, Countertops, Backsplash, Baseboards, Doors, Shower, Faucets, Light Fixtures. This Gorgeous 2 Bed Condo Townhouse Has Everything You're Looking For And A Patio To Relax On. Walking Distance To Transit, Shopping, Schools, Malls Churches And So Much More."
W4924127,234 Blackthorn Ave,Weston-Pellam Park - Toronto,Semi-Detached,"$699,900","$775,203",2020-09-27,"$675,000",3 Bedrooms,2 Bathrooms,0 Garage,"$2,872","Semi-Detached, 2-Storey",,51-99,1100-1500 feet??,Fin W/O,,13 days,9 day(s),2020-09-23,2020-10-06,"$2,645",3.62%,St Clair & Caledonia,,W,Toronto,"Great Location & Ideal For First Time Buyers, Investor And/Or Contractor. The Property Requires Tlc, Waiting For Your Personal Touches. 3 Bedrooms, 2 Bathrooms, Semi Detached Property With Huge Potential. Separate Entrance To Basement Walk Out. Roof 2013, Eave Troughs Repaired 2019, A/C & Gas Furnace 2017."
C4923757,Unit 606 - 510 King St E,Moss Park - Toronto,Condo Apt,"$629,900","$641,103",2020-09-29,"$604,500",1+1 Bedrooms,1 Bathrooms,1 Garage,"$2,567","Condo Apt, Apartment",$476/month,10-Jun,700-799 feet??,None,"water,heat",14 days,15 day(s),2020-09-22,2020-10-06,"$2,325",2.88%,King/Sumach,"Concierge, Gym, Party/Meeting Room",W,Toronto,"Corktown Lofts, 700 Sq. Ft. One Plus Den, Large Terrace With Incredible City Skyline Views, Gas & Bbq Outlet, 10 Ft Ceilings, Polished Concrete Floors, Stainless Steel Appliances In The Heart Of Corktown. Sun Filled Extra Wide Corner Unit. Floor To Ceiling Windows. Den Can Be Closed Off If Second Room Reqd. Parking Incl."
C4914338,Unit 805 - 38 Niagara St,Waterfront Communities C1 - Toronto,Condo Apt,"$629,000","$647,309",2020-09-24,"$605,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$2,249","Condo Apt, Apartment",$409/month,15-Nov,600-699 feet??,None,"water,heat",20 days,20 day(s),2020-09-16,2020-10-06,"$1,923",2.26%,King & Bathurst,"Bbqs Allowed, Party/Meeting Room, Security System",S,Toronto,"Sought-After Zed Lofts! This 1 Bd + Den Is Picture-Perfect! Rare Rectangular Layout W/ A Kitchen Big Enough For A Generous Island, A Fireplace W/Mantle In The Living Room For Cozy Nights & A Dining Area That Can Seat 6! Yes, 6!!! Oh, And Did We Mention The South Facing Balcony W/ Peak-A-Boo Lake Views?! All In A Boutique Building (Read Great Investment!) In Trendy King West & Close To The Gardiner, Lake, Park, Restaurants! It Doesn't Get Any Better Than This!"
C4913342,Unit 3704 - 37 Sudbury St,Niagara - Toronto,Condo Townhouse,"$749,000","$781,772",2020-10-01,"$715,000",2 Bedrooms,1 Bathrooms,1 Garage,"$2,755","Condo Townhouse, 3-Storey",$455/month,-,800-899 feet??,None,"water,hydro,heat",21 days,13 day(s),2020-09-15,2020-10-09,"$2,305",2.36%,Sudbury/Dovercourt,"Bbqs Allowed, Rooftop Deck/Garden",Ne,Toronto,"Opportunity Knocks! Imagine Living In A Little Stretch Of Suburbia, On A Cute Tree Lined Street, Nestled Between West Queen West, King W + Liberty Village. Looking For Outdoor Space? Look No Further Than Your Rooftop Terrace Where You Can Spot The Cn Tower. Cozy Fireplace? You'll Find That Too. Say Goodbye To The Popcorn Ceiling + Hello To The Updated Kitchen, Bath + Floors. And The Extras - All Utilities Are Incl. In Maintenance!"
E4910427,9 Weymouth Ave,Crescent Town - Toronto,Semi-Detached,"$679,000","$790,922",2020-09-20,"$615,000",3 Bedrooms,2 Bathrooms,0 Garage,"$2,576","Semi-Detached, 2-Storey",,-,1300 feet?? (SigmaEstimate??),Finished,,24 days,10 day(s),2020-09-12,2020-10-08,"$2,860",3.89%,Danforth/Victoria Pk,,S,Toronto,"East York Semi Enclosed Porch, Walk To Danforth Ave, Public Transit (Ttc), Subway, Shopping Centre, Schools, Parks"
C4930504,Unit 1629 - 525 Adelaide St W,Waterfront Communities C1 - Toronto,Condo Apt,"$699,000","$741,522",2020-09-28,"$723,000",2 Bedrooms,2 Bathrooms,1 Garage,"$2,447","Condo Apt, Apartment",$451/month,0-5,700-799 feet??,None,,7 days,20 day(s),2020-09-28,2020-10-05,"$3,198",3.83%,Bathurst And Adelaide,,Sw,Toronto,"Gorgeous & Bright 2 Bedroom + 2 Full Bath Corner Suite Located In Prime King West Village Features A Modern Kitchen With Granite Countertops, A Pantry & Full Size Stainless Steel Appliances, Beautiful Laminate Floors Throughout, Custom Roller Blinds & Stunning Upgraded Light Fixtures!1 Parking & 1 Locker Included.Surrounded By Trendy Local Restaurants,Bars,Stylish Shops & Nightlife.24Hr Concierge,Gym,Pool,Hot Tubs,Sauna,Steam Room,Party Room & 3 Guest Suites"
W4930352,236 Wiltshire Ave,Weston-Pellam Park - Toronto,Condo Townhouse,"$658,000","$685,045",2020-09-28,"$701,000",2 Bedrooms,1 Bathrooms,0 Garage,"$2,183","Condo Townhouse, Stacked Townhse",$322/month,-,1000-1199 feet??,None,water,7 days,32 day(s),2020-09-28,2020-10-07,"$2,193",2.62%,North Davenport/W Landsdowne,,E,Toronto,"Bright And Shiny Upper 2 Bedroom End Unit Townhome. Master Bedroom With Wall To Wall Built In Closet Organizers. Open Concept Living/Dining And Kitchen Area With Walkout To Gorgeous West Facing Covered Deck. Spiral Staircase Down To Above Grade, Owned Parking Space In Quiet Complex Steps To Ttc, Earlscourt Park And Community Centre. Recent Paint And New Carpet In This 1100 Sq Ft Professionally Cleaned And Virtually Staged Home. Shows Beautifully!! Act Fast!"
E4928609,Unit Th 7 - 150 Broadview Ave,South Riverdale - Toronto,Condo Townhouse,"$599,000","$604,685",2020-10-08,"$585,000",1+1 Bedrooms,1 Bathrooms,0 Garage,"$2,447","Condo Townhouse, Multi-Level",$241/month,-,700-799 feet??,"Finished, None",water,10 days,9 day(s),2020-09-25,2020-10-11,"$1,868",2.73%,Queen And Broadview,Bike Storage,N,Toronto,"Gorgeous Victorian Inspired Executive Riverside Towns. Over 700 Square Feet Of Stunning Space. The Unit Features 1+1 Bedrooms. Den Can Be Used As A 2nd Bdrm, Upgraded Kitchen W/Stainless Steel Appliances Including A Gas Stove, Engineered Hardwood Throughout, Bright Open Concept Living Space. This Prime Location Is Steps To Great Restaurants, The Broadview Hotel, Boutiques, Cafe's, Parks, Transit Highways. Virtual Tour Available"
C4917985,Unit 848 - 68 Abell St,Little Portugal - Toronto,Condo Apt,"$675,000","$727,384",2020-09-22,"$675,000",2 Bedrooms,2 Bathrooms,1 Garage,"$2,555","Condo Apt, Apartment",$654/month,0-5,800-899 feet??,None,"water,heat",17 days,13 day(s),2020-09-18,2020-10-08,"$2,435",2.44%,Queen Street W,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",W,Toronto,"Spectacular Two Bedroom Suite At Epic On Triangle Park. Bright And Very Spacious With West Facing Views! This Suite Features A Very Functional Two Bedroom Floor Plan With Gleaming Laminate Flooring, Kitchen With Stainless Steel Appliances And Granite Countertops. Parking And Locker Also Included! Situated In The Heart Of Queen West! One Of Toronto's Trendiest Neighbourhoods! Steps To Transit, Restaurants, Bars, Coffee Shops, Stores, Theatres & So Much More!"
