Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Date_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
W4932478,Unit 621 - 812 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 599,000","$656,677",2020-09-29,,2 Bedrooms,1 Bathrooms,1 Garage,"$ 1,777","Condo Apt, Apartment",$412/month,6-10,600-699 feet²,None,"water,heat",1 days,12 day(s),2020-09-29,2020-09-29,"$2,128",2.74%,Lansdowne & Dupont,"Gym, Party/Meeting Room, Visitor Parking",E,Toronto,"Welcome To The West! Bright Modern Unit W/Stylish Upgrades Is Move In Ready! Open Concept Living/Dining Space Is Perfect For Entertaining. Ampe Storage In Kitchen And Throughout The Unit, As Well As A Separate Storage Locker! The Dovercourt-Wallace Emerson-Junction Community Has Become Known For Its Local Food And Arts Scene As Well As Its Proximity To Some Of The Hottest Areas In To Commuter Friendly Location Steps To The Subway And A Quick Walk To Go Train!"
W4923611,Unit 322 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 489,000","$545,239",2020-09-28,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,631","Condo Apt, Apartment",$361/month,-,600-699 feet²,None,"water,heat",8 days,12 day(s),2020-09-22,2020-09-28,"$1,790",2.71%,Dupont & Lansdowne Ave,"Concierge, Gym, Party/Meeting Room, Visitor Parking",W,Toronto,"Incredible Value In The Junction Village. Large 1 Bedroom With Open Concept Living And Dining Area. Kitchen Has Stainless Steel Appliances, Breakfast Bar And Upgraded Counter Tops. Great Layout For Easy Furniture Placement Which Also Allows For Dining Table. Master Has Walk In Closet. Building Has Great Amenities And Is Centrally Located Close To Ttc, Shopping, Restaurants."
W4915991,Unit 39 - 371 Wallace Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 1,024,000","$1,061,264",2020-09-28,,2 Bedrooms,2 Bathrooms,1 Garage,$ 478,"Condo Apt, Loft",$721/month,11-15,1000-1199 feet²,None,water,13 days,12 day(s),2020-09-17,2020-09-28,"$3,248",2.69%,Bloor And Symington,"Bbqs Allowed, Gym, Rooftop Deck/Garden, Visitor Parking",Se,Toronto,"The Convenience Of Ground Based Living Combined With The Luxuries Of Loft Living In The Coach House At The Wallace Station Lofts. Front Door Parking & Entry, Bright & Open, 2 Bdrm, 2 Bath Floor Plan, 1178Sqft On One Level Plus An Amazing, Private, South Facing, 370Sqft Roof Top Patio, Perfect Of Entertaining & Relaxing. Open Concept Kitchen, Living, Dining Area, Huge Master Bdrm With Ensuite & Walk-In Closet. Flexible 2nd Bdrm, Office Or Exercise Space & Deck"
W4803608,Unit 1210 - 1420 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 599,900","$658,947",2020-09-24,,2 Bedrooms,1 Bathrooms,1 Garage,"$ 1,811","Condo Apt, Apartment",$387/month,-,500-599 feet²,Apartment,"water,heat",101 days,11 day(s),2020-06-21,2020-09-24,"$2,050",2.64%,Dupont/Lansdowne,"Games Room, Gym, Party/Meeting Room, Rooftop Deck/Garden, Security System, Visitor Parking",Ne,Toronto,"**Excellent** Bright Clean 2 Bedroom Corner Unit With 593 Sq Ft + 68 Sq Ft Balcony ! Low Maintenance Fees, 1 Parking And 1 Locker, With Lots Of Visitor Parking. Beautiful Unobstructed View Of The City. Bright And Open Concept Unit With Modern Kitchen, Spacious Balcony, Loads Of Amenities. Food Basics & Shoppers Drug Mart At The Base Of The Building. Nearby Corso Italia, Stockyards, High Park, Steps To T.T.C, Bus Stop And Subway. * Fantastic Location.*"
W4901059,Unit 709 - 1375 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 588,000","$591,874",2020-09-09,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,613","Condo Apt, Loft",$479/month,-,500-599 feet²,None,"water,heat",22 days,12 day(s),2020-09-08,2020-09-08,"$1,960",2.6%,Dupont/Landsdowne,"Security System, Recreation Room",N,Toronto,"*** Chelsea Lofts*** Lower Penthouse Unit Features Floor To Ceiling Windows With High 9' Ceiling Throughout The Unit. Exposed Duct Work And Concrete Pillars. Rooms Are Filled With Natural Light From Floor-Ceiling Windows. 2020 Renovated : New Flooring , Fresh Paint Through Out, Long Baseboards, All Brand New Appliances, New Faucet, New Customized Wardrobe, All Customized Lighting & Ceiling Fan. W/O Terrace Party Room, Roof Top Lounge/Patio,Close To Elevator"
W4925054,Unit 2404 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 699,000","$732,421",2020-09-28,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,333","Condo Apt, Apartment",$530/month,-,700-799 feet²,None,"water,heat",7 days,12 day(s),2020-09-23,2020-09-28,"$2,300",2.46%,Landsdowne And Dupont,"Bike Storage, Concierge, Exercise Room, Media Room, Party/Meeting Room, Visitor Parking",Se,Toronto,"Corner Unit, At The Desirable Fuse Condos, Has 794 Sqft With An Outstanding Rare South East View Of The Lake And City! Large Wrap Around Balcony To Enjoy It All From The 24th Floor! Newer Building, Modern Finishes, Laminate Flooring, Split Bed Plan. Trendy Emerson/Junction Area With All The Amenitities You Need Nearby! Grocery Store/Shoppers Downstairs And Ttc At Door. Well Managed Building With 24 Hours Security. Easy Visitor Parking."
W4892875,Unit 2108 - 1420 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 629,000","$670,120",2020-09-29,,2 Bedrooms,1 Bathrooms,1 Garage,"$ 2,033","Condo Apt, Apartment",$442/month,-,600-699 feet²,None,"water,heat",29 days,12 day(s),2020-09-01,2020-09-29,"$2,050",2.45%,Dupont & Lansdowne,"Concierge, Games Room, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",Nw,Toronto,"**Parking & Locker Included** - Bright And Spacious Corner Unit 2-Bedroom Apartment Aprox 689 Sq Ft! Walking Distance To Lansdowne Station. Shoppers And Food Basics A Few Seconds Away. Amenities Include Gym, Party Room, Lounge, Theater Room. Currently Tenanted @ $2137 Per Month , Please Give 24 Hours Notice For Showings!"
W4929760,Unit 801 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 748,000","$773,183",2020-09-26,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,393","Condo Apt, Apartment",$577/month,0-5,800-899 feet²,None,"water,heat",4 days,12 day(s),2020-09-26,2020-09-26,"$2,300",2.25%,Dupont/Lansdowne,,Ne,Toronto,"Spectacular Corner Unit At Fuse Condos! No Shortage Of Natural Light In This Corner Unit With Ne Views. Enjoy Cn Tower View And Amazing Sunsets. Freshly Painted Throughout. Located In The Trendy, Rapidly Developing, Junction Area! Transit At The Door With A Short Walk To The Bloor Subway Line! Convenience At It's Best With Grocery Store And Shoppers Drug Mart Attached To The Building. Short Walk To Parks, Restaurants And Shopping."
W4904940,Unit 426 - 1410 Dupont St,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 570,000","$593,050",2020-09-18,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,889","Condo Apt, Loft",$470/month,0-5,600-699 feet²,None,"water,heat",21 days,12 day(s),2020-09-09,2020-09-30,"$1,790",2.23%,Dupont St And Lansdowne Ave,"Bike Storage, Exercise Room, Guest Suites, Rooftop Deck/Garden, Security Guard, Visitor Parking",S,Toronto,Move Into This Unique Penthouse Loft In One Of The Most Vibrant Neighbourhoods In Toronto. High 10 Ft Sloped Ceilings Provide The Feel Of A Townhouse In The Sky. Unique Layout Provides For Both South And North Exposure With Windows That Open On Both Sides To Provide The Best Airflow. Skylight In The Roof Will Brighten Up Your Space On Any Day. Private Terrace Style Balcony And Beautiful Rooftop Garden Will Create The Best Out Door Living Experience.
W4931033,Unit 8 - 371 Wallace Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 749,900","$775,457",2020-09-28,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 3,232","Condo Apt, Loft",$669/month,11-15,1000-1199 feet²,None,water,2 days,12 day(s),2020-09-28,2020-09-28,"$2,035",1.59%,Wallace & Symington,"Bbqs Allowed, Gym, Visitor Parking",Se,Toronto,"It's Rare For A Hard Loft Condo Apartment With 2 Separate Private Outdoor Spaces To Be In This Price Range In The Junction. In Historic Wallace Station Lofts, This Multi-Level Unit Is More Like A Townhouse. An Entertainer's Dream, The Open Concept Kitchen + Living Room Flow Naturally To A Private Rooftop Terrance And An Oasis-Like Front Patio. The Large Master Bedroom Has Space For An Office/Sitting Room. Ensuite Bath. Bloor Go/Up Express 450 M Away."
W4902726,Unit 344 - 1100 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 949,000","$927,007",2020-09-25,,2 Bedrooms,2 Bathrooms,2 Garage,"$ 3,148","Condo Apt, Loft",$707/month,-,1000-1199 feet²,None,"water,heat",22 days,12 day(s),2020-09-08,2020-09-25,"$2,947",2.43%,Landsowne/Davenport,"Bike Storage, Bus Ctr (Wifi Bldg), Gym, Media Room, Party/Meeting Room, Visitor Parking",E,Toronto,"The Foundry Lofts-.Stunning 2 Storey 1169 Sq.Ft. Light Filled East Exposure Condo In A Train Factory Conversion. Work And Relax In 16,000 Sq.Ft. Atrium Comfortable Year Round Space That Is Truly Unique-Steps To Balzac's Coffee/Event Space .Tavern, Children's Playground, Dog Park, Pool, Minutes To Hipster Heaven, Blood Bros Craft Beer, Parallel Restaurant , Tre Mari Bakery On St. Clair Ave. , Casa Loma 10 Minutes Away"
W4927895,Unit 328 - 1100 Lansdowne Ave,Dovercourt-Wallace Emerson-Junction - Toronto,Condo Apt,"$ 1,099,000","$1,136,459",2020-09-30,,3 Bedrooms,3 Bathrooms,1 Garage,"$ 3,886","Condo Apt, Loft",$1019/month,-,1800-1999 feet²,None,"water,heat",5 days,12 day(s),2020-09-25,2020-09-28,"$3,042",1.69%,Lansdowne / S. Of Davenport,"Exercise Room, Party/Meeting Room, Recreation Room, Security System, Visitor Parking",W,Toronto,"Must See! Welcome To The Foundry Lofts**Remarkable And Authentic Hard Loft Conversion Of A 1903 'Heritage' Train Factory** Hardwood Floors, Exposed Brick, Ducting, Warehouse Windows**Open Concept Dining & Living Space With Soaring 17Ft Ceiling & Updated Chefs Kitchen**Unique, Light-Filled Layout Provides 3 B/R, 3W/R Over 3 Levels With Flexibility For Sophisticated Entertainment And As Multi-Generational Family Living**Enjoy The Jaw-Dropping 16,000 Sq Atrium**"
W4923831,Unit 307 - 105 The Queensway St,High Park North - Toronto,Condo Apt,"$ 439,888","$475,603",2020-09-24,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 1,331","Condo Apt, Apartment",$351/month,6-10,0-499 feet²,None,"water,heat",8 days,15 day(s),2020-09-22,2020-09-24,"$1,989",3.64%,Front And Spadina,,W,Toronto,"Cute, 1-Bed Condo In The Heart Of South Kingway! Fantastic West View For Epic Sunsets. Ravines, Bike Rides, Walks Along The Lake And Some Of The Best Amenities In The City Including Outdoor Tennis Courts!"
W4908297,Unit 408 - 1638 Bloor St W,High Park North - Toronto,Condo Apt,"$ 548,000","$549,232",2020-09-14,,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 1,975","Condo Apt, Apartment",$516/month,-,500-599 feet²,None,water,19 days,14 day(s),2020-09-11,2020-09-14,"$2,550",3.87%,Bloor St. W/Indian Ave,,W,Toronto,"1 Bedroom + Den - 9Ft Ceiling In The Highly Desirable High Park Neighbourhood. Trendy Boutique Condo Built To High Standards. Steps To Subway, High Park, Bloor West Villages & Roncesvalles. Parking & Locker Included. Granite Countertops."
W4922607,Unit 623 - 20 Gothic Ave,High Park North - Toronto,Condo Apt,"$ 595,000","$609,272",2020-09-25,,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,370","Condo Apt, Apartment",$565/month,11-15,600-699 feet²,None,"water,heat",8 days,15 day(s),2020-09-22,2020-09-30,"$2,446",3.12%,Bloor And Quebec,,N,Toronto,"Perched In The Tree Tops, Nestled On An Intimate Residential St. Across The Road From 400 Acres Of Park, This Unit Is A Stunner! The O/C Living Area Overlooks A Tree Top View And The Floor To Ceiling Windows Flood The 655Sqft Space With Light, Sit On The Balcony Sipping Your Morning Coffee, Then Head To The ""Office"" In The Private Oversized Den, That Could Also Double As A Second Bedroom. There Is Space To Live Here!"
W4907866,Unit 403 - 1830 Bloor St W,High Park North - Toronto,Condo Apt,"$ 599,999","$586,664",2020-09-30,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,171","Condo Apt, Apartment",$398/month,-,500-599 feet²,None,water,19 days,16 day(s),2020-09-11,2020-09-30,"$2,172",3.06%,Bloor/ Keele,,Ne,Toronto,"!!!Stunning Open Concept!!! Bright 1 Bedroom Condo In Highly Sought After Trendy High Park Neighborhood!!! Larger 1 Bedroom Unit This Condo Features 9 Ft Ceiling, W/ Large Picture Windows, W/O To Private Balcony, Newly Fresh Paint !! Very Well Maintained!! S/S Appliances, On Suit Laundry, Ease Of Access To Highways, Minutes To Downtown And Airports. Steps To Subway, Parks, Shopping, Cafes And Dining !!!"
W4876954,Unit 115 - 20 Gothic Ave,High Park North - Toronto,Condo Apt,"$ 649,000","$679,359",2020-09-05,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,411","Condo Apt, Apartment",$496/month,11-15,500-599 feet²,None,water,42 days,14 day(s),2020-08-19,2020-09-09,"$2,450",2.93%,Bloor St W/Quebec Ave,"Bbqs Allowed, Concierge, Exercise Room, Games Room, Guest Suites, Gym",N,Toronto,"A Spectacularly Rare Unit Awaits You At The Ever Popular ""20 Gothic"", Located In The Heart Of High Park ,One Of Toronto's Most Desired Neighborhoods ! This Unit Is Will Make You The Most Popular Person In Your Group Of Friends When You Gather On The 385 Sq Ft Terrace For Mid Summer Night Barbeques On Your Gas Bbq. Only Steps To World Famous High Park And All The Uniqueness Of The Bloor West Village Shops And Seconds To The Ttc."
W4916142,Unit 605 - 20 Gothic Ave,High Park North - Toronto,Condo Apt,"$ 689,000","$666,921",2020-09-18,,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,699","Condo Apt, Apartment",$603/month,-,600-699 feet²,None,"water,heat",13 days,14 day(s),2020-09-17,2020-09-17,"$2,521",2.87%,Bloor St & High Park Ave,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Visitor Parking",E,Toronto,"Welcome To Twenty Gothic! Enhance Your Living & Entertaining Experience In This Over-Sized One Bedroom+Den Suite On The Edge Of Beautiful High Park.Opening The Door Reveals 697 Sq Ft Of Open Concept Living. The Highly Functional Kitchen Flows Into The Expansive Living/Dining Room With A Walkout To A Private Balcony Overlooking A Community Park, While The Spacious Bedroom Boasts A Roomy Walk-In Closet And A View Of The Toronto Skyline."
W4902906,Unit 506 - 70 High Park Ave,High Park North - Toronto,Condo Apt,"$ 749,900","$703,666",2020-09-15,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,735","Condo Apt, Apartment",$612/month,-,800-899 feet²,None,"water,heat",22 days,14 day(s),2020-09-08,2020-09-15,"$2,620",2.86%,Bloor St. & High Park Ave,"Gym, Party/Meeting Room, Security Guard, Security System, Visitor Parking",S,Toronto,"Spectacular High Park Location With South Facing Split 2 Bedrm 2 Full Bath Floor Plan & Daniels Built On Historic Site**Steps To The Subway, High Park, Charming Bloor West Village & The Junction - Truly Living At It's Best!! Beautiful Unit W/Lots Of Closet Space, Large Balcony,Parking & Locker**Excellent Building With Private Court Yard & Bbq, Exercise, Media &Party Rm, Billiards +More**"
W4893474,Unit 514 - 1990 Bloor St W,High Park North - Toronto,Condo Apt,"$ 685,000","$698,380",2020-09-12,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,681","Condo Apt, Apartment",$528/month,0-5,500-599 feet²,None,"water,heat",30 days,14 day(s),2020-08-31,2020-09-12,"$2,490",2.82%,Bloor / High Park,,S,Toronto,"Luxury Condo In High Park With Unobstructed South View, Facing Park, Minutes To Subway, Ttc, Open Concept, Sunny & Clean, Well Maintained, Beautiful Stainless Steel Appliances With Island. 1 Parking Spot And 1 Locker. Shows Excellent!"
W4912209,Unit 1118 - 1830 Bloor St,High Park North - Toronto,Condo Apt,"$ 750,000","$773,857",2020-09-25,,1+1 Bedrooms,2 Bathrooms,0 Garage,"$ 2,630","Condo Apt, Apartment",$501/month,0-5,600-699 feet²,None,"water,heat",15 days,15 day(s),2020-09-15,2020-09-24,"$2,556",2.68%,High Park/ Bloor/Keele,"Concierge, Exercise Room, Games Room, Guest Suites, Gym, Party/Meeting Room",N,Toronto,"A Beautiful One Bedroom Plus Den W/ 2 Luxury Bathrooms In High Park!. Steps To Subway, High Park, Bloor West Village, Junction, Banks, Shops, Restaurants. Ensuite Laundry,Locker.Large Den Can Be Used As An Office Or Sleeping Area,Combined Living/Dining With W/O To Balcony (Long), S/S Appliances,Amazing Luxury Amenities,24 Hr Concierge,Bike Zone,Yoga,Climbing Wall,Home Theater, Gym,Sauna And So Much More..."
W4922562,Unit 601 - 1830 Bloor St,High Park North - Toronto,Condo Apt,"$ 579,900","$587,389",2020-09-22,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,194","Condo Apt, Apartment",$361/month,-,500-599 feet²,None,"water,heat",8 days,15 day(s),2020-09-22,2020-09-30,"$1,890",2.59%,Bloor /Keele Across High Park,,N,Toronto,"Stunning Condo With High Park At Your Door Step! Sunfilled One Bedroom With Great Efficient Layout, Modern Elegant Kitchen, Large Quiet Balcony With City View!Outstanding Facilities! 2 Story Climbing Wall, Kick Back In A Private 15 Seat Theater Room. Vibrant Neighbourhood, Walk To Subway, Shops, Restaurants, Bloor West Village, Roncesvalles And Walk/Bike To The Lake. Locker Included. Picture Yourself In This Beautiful Oasis Enjoying A Luxury Lifestyle."
