Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Date_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4920602,Unit 2903 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 929,000","$937,484",2020-10-01,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 5,744","Condo Apt, Multi-Level",$823/month,-,700-799 feet²,None,"water,heat",22 days,27 day(s),2020-09-20,2020-09-30,"$3,075",1.97%,Yorkville Ave & Avenue Rd,,N,Toronto,"**Enjoy Yorkville Life At The Luxurious ""Yorkville Plaza"" Condominium** Well-Designed Two Bedroom And Two Washroom Suite Including 1 Parking. This Condo Sits On A High Floor With A Fantastic North Clear View Through Large Bay Windows. Steps To Luxury Shopping, Restaurants, Bars And Cafes, Walking Distance To University Of Toronto, Subway, And Much More!"
C4914757,Unit 310 - 280 Howland Ave,Annex - Toronto,Condo Apt,"$ 1,700,000","$1,646,063",2020-09-16,,2 Bedrooms,3 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$761/month,New,1200-1399 feet²,None,,27 days,27 day(s),2020-09-15,2020-09-16,"$6,067",3.54%,Dupont St / Howland Ave,"Concierge, Exercise Room, Guest Suites, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",S,Toronto,"Tridel's Bianca In The ""New Dupont Community"". Walk Score Of 93 And Transit Score Of 95. Rooftop Amentities Including Outdoor Swimming Pool, Cabana And Dining. Ground Floor Fitness And Party Room"
C4914751,Unit 311 - 280 Howland Ave,Annex - Toronto,Condo Apt,"$ 1,825,000","$1,767,269",2020-09-16,,2 Bedrooms,3 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$831/month,New,1400-1599 feet²,None,,27 days,27 day(s),2020-09-15,2020-09-16,"$6,067",3.25%,Dupont St / Howland Ave,"Concierge, Exercise Room, Guest Suites, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",S,Toronto,"Tridel's Bianca In The ""New Dupont Community"". Walk Score Of 93 And Transit Score Of 95. Rooftop Amentities Including Outdoor Swimming Pool, Cabana And Dining. Ground Floor Fitness And Party Room"
C4933992,Unit 201 - 336 Davenport Rd,Annex - Toronto,Condo Apt,"$ 949,000","$956,598",2020-10-09,,2+1 Bedrooms,2 Bathrooms,1 Garage,"$ 3,514","Condo Apt, Apartment",$684/month,-,1000-1199 feet²,None,water,12 days,29 day(s),2020-09-30,2020-10-01,"$4,282",3.71%,Davenport And Bedford,"Bbqs Allowed, Security System",N,Toronto,"New York Meets Toronto! This Beautiful 2 Bedroom Condo Has A Detached Home Feel: Featuring A Drive-In Garage And Ensuite Access Elevator, You'll Never Have To See A Soul! This Cosy Yet Chic Space Offers A Split Layout Perfect For Privacy And Entertaining! Huge Master Ensuite And Living Room With A Real, Gas Fireplace. Two Balconies With Exposures Facing Both East And West. With Floor To Ceiling Windows, High Ceilings, And Loads Of Natural Light."
C4857889,Unit 2504 - 181 Bedford Rd,Annex - Toronto,Condo Apt,"$ 1,151,550","$1,144,731",2020-08-07,,3 Bedrooms,2 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$417/month,New,800-899 feet²,None,,68 days,38 day(s),2020-08-05,2020-08-07,"$4,047",3.36%,Avenue Rd/ Davenport Rd,"Concierge, Exercise Room, Games Room, Guest Suites, Party/Meeting Room, Visitor Parking",Ne,Toronto,"Metropia Built. Expected Occupancy April 2021. Welcome To Another Great Community By Metropia-Ayc Condos,181 Bedford.A Perfect Marriage B/W Intersecting Cultural Zones Of The Annex&The Sophistication Of Yorkville. Great Luxury Fl25 Ne Corner Unit Model Avenue 3B 853Sq.Ft With Open Concept Liv,Din&Kitchen."
C4943524,Unit 608 - 284 Bloor Street W,Annex - Toronto,Condo Apt,"$ 599,000","$520,073",2020-10-11,,2 Bedrooms,1 Bathrooms,1 Garage,"$ 2,507","Condo Apt, Apartment",$789/month,-,700-799 feet²,None,"water,hydro,heat",6 days,28 day(s),2020-10-06,2020-10-07,"$3,070",4.23%,Bloor & St George,"Bike Storage, Exercise Room, Party/Meeting Room, Recreation Room, Security System",Se,Toronto,"Welcome To Premium Annex Location, Bloor's Spacious Gem At St. George Mews.This Renovated Corner Unit Is Approx 795 Sqft. Utilities Included In Maintenance Fees.Steps To U Of T,St. George Subway/Ttc, Enjoy Prestigious Yorkville Shops, Fine Dining&Museums. South/East Corner Suite With Lots Of Natural Light. Spotless Move In Condition,Building Amenities Include: Party Rm, Meeting Rm,Exercise Rm & Garden.Full Size Kitchen With Pass Through Serving Bar."
C4905778,Unit 108 - 15 Mcmurrich St,Annex - Toronto,Condo Apt,"$ 949,900","$986,932",2020-09-10,,2 Bedrooms,3 Bathrooms,1 Garage,"$ 3,627","Condo Apt, Apartment",$1215/month,-,1200-1399 feet²,None,"water,heat",32 days,28 day(s),2020-09-10,2020-09-10,"$7,093",6.11%,Yonge/Davenport,"Concierge, Exercise Room, Recreation Room, Sauna",S,Toronto,"1st Time On Market In Decades! Very Rarely Offered 2 Story, Ground Floor Unit, That Feels More Like A A Townhouse Than An Apartment! Consider This A 1,318 Sf Mostly Blank Canvas Awaiting Your Dream Finishes & Design! This Unit Features 2 Large Bedrooms, 3 Baths, Renovated Kitchen With Newer Appliances, Ground Flr Balcony & Mstr W/ W/O Balcony, With 1 Parking & 1 Locker! Recently Renovated Building Common Areas! Ground Flr Unit- No More Elevator Blues!"
C4916660,Unit 15 - 232 St George St,Annex - Toronto,Condo Apt,"$ 749,999","$779,905",2020-09-30,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 2,621","Condo Apt, Stacked Townhse",$639/month,-,800-899 feet²,None,water,25 days,27 day(s),2020-09-17,2020-09-28,"$3,659",3.89%,St. George/Bernard,,W,Toronto,"Demand Annex Location! Peaceful Like Setting, Walk To St.George Subway, Bloor, U Of T,Yorkville And More. Bright And Spacious Open Concept Unit. Open Concept Kitchen To Dining/Living Area. Walk-Out To Balcony From Master, Ensuite Laundry, 2 Bathroom Unit. Hurry And See It Today!"
C4883431,Unit 2018 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 990,000","$992,797",2020-08-24,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 5,744","Condo Apt, Apartment",$823/month,-,700-799 feet²,None,hydro,49 days,33 day(s),2020-08-24,2020-08-24,"$5,433",4.39%,Yorkville Ave/Avenue Road,,N,Toronto,"* Enjoy Yorkville Life At The Luxurious Yorkville Plaza Condominium * Well Designed Two Bedroom And Two Washroom Suite Including 1 Parking & 1 Locker * Fantastic North Clear View Through Large Bay Windows * Steps To The Subway, Dining, High Brand Shopping Malls And Much More."
C4893096,Unit 1103 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 899,900","$967,093",2020-09-01,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 5,781","Condo Apt, Apartment",$823/month,-,700-799 feet²,None,"water,heat",41 days,32 day(s),2020-09-01,2020-09-01,"$5,125",4.18%,Yorkville / Avenue Road,"Concierge, Exercise Room",E,Toronto,"**Fully Furnished Condo Unit For Sale** Canada's Most Prestigious Neighborhood ""Yorkville Village"", Steps To Luxury Shopping, Restaurants, Bars & Cafes, Unobstructed Views Of Rosedale & Annex's Tree Lines, With Bay Windows, Walking Distance To Queen's Park, U Of T, R.O.M, 3 Different Subway Stations To Choose, Parking & Locker."
C4934925,Unit 705 - 95 Prince Arthur Ave,Annex - Toronto,Condo Apt,"$ 829,000","$821,172",2020-10-09,,1 Bedrooms,2 Bathrooms,1 Garage,"$ 2,879","Condo Apt, Apartment",$551/month,-,700-799 feet²,None,"water,hydro,heat",12 days,29 day(s),2020-09-30,2020-10-08,"$3,692",3.8%,Bloor St. West & St. George,,S,Toronto,"Downtown Oasis, An Elegant, Luxurious, Meticulously Crafted Condo. All Utilities Included In Low Maintenance Fee, (Except Cable), Move In Ready, Floor To Ceiling Windows, Custom Aya Designer Kitchen, Pre-Engineered Wide Plank Floor, Heated Floor In Ensuite Bathroom, 2 Surround Sound Systems, Entertainers Paradise, Stainless Steel Kitchen Appliances, Pot Lights Throughout, Alarm System For Added Security."
C4941277,Unit 1505 - 10 Bellair St,Annex - Toronto,Condo Apt,"$ 2,300,000","$2,281,482",2020-10-10,,2+1 Bedrooms,3 Bathrooms,2 Garage,"$ 9,541","Condo Apt, Apartment",$1962/month,-,1600-1799 feet²,None,"water,heat",7 days,28 day(s),2020-10-05,2020-10-05,"$11,284",4.02%,Bay/Bloor/Cumberland,,Nw,Toronto,"Prime Yorkville Location In The Prime Yorkville Building. Facing North West This Suite Boast Lovely Views Over The Green Canopy Of The City, And A Perfect Spot To Watch The Sunset. Excellent Gracious Entertaining Space Open Concept Living And Dining Room. Separate Den/Home Office, Plus A Breakfast Room Off The Kitchen. Two Spacious Bedrooms, Both With Spa Like Marble Ensuites. Marble Powder Room, Terrific Closet Space.One Of The Best Layouts In The Building."
C4874473,Unit 201 - 15 Mcmurrich St,Annex - Toronto,Condo Apt,"$ 879,999","$897,272",2020-08-18,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,663","Condo Apt, Apartment",$1365/month,31-50,1400-1599 feet²,None,"water,heat",56 days,34 day(s),2020-08-17,2020-08-17,"$4,910",3.6%,Yonge And Davenport,"Exercise Room, Party/Meeting Room, Rooftop Deck/Garden, Sauna, Security Guard",E,Toronto,Ideal Downtown Location. Spacious 2 Bedroom Condo (That Could Be Converted To 3) In Yorkville. Largely Owner Occupied Building. Has A Walk Score Of 96. The Unit Is Next To A Quiet Courtyard. It Comes With A Galley Kitchen With Ample Storage. Walk In Closet In Master.
C4943936,Unit 4307 - 1 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 768,900","$641,204",2020-10-11,,1+1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",-,-,500-599 feet²,None,heat,6 days,28 day(s),2020-10-06,2020-10-07,"$1,983",3.42%,Yonge & Bloor,"Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna",N,Toronto,Perfect 1 Bed+Den Layout With An Unobstructed View In Toronto's Luxury Neighbourhood Yorkville. This Building Has 5-Star Hotel Like Amenities Like No Other Buildings In The Area And Is Located On Yorkville Ave Just Steps To Upscale Shops & Restaurants And Steps To The Subway.
C4850601,Unit 3201 - 18 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 2,950,000","$2,789,588",2020-09-17,,2+1 Bedrooms,3 Bathrooms,2 Garage,"$ 9,787","Condo Apt, Apartment",$1663/month,16-30,1800-1999 feet²,None,"water,heat",74 days,27 day(s),2020-07-30,2020-09-17,"$10,703",3.19%,Yonge & Yorkville,"Bike Storage, Concierge, Exercise Room, Games Room, Rooftop Deck/Garden, Visitor Parking",Se,Toronto,"Welcome To 3201-18 Yorkville! Rise & Shine! This High Floor Southeast Corner Suite With Unobstructed East Views Over Rosedale, At Almost 2000 Sf Plus A Large Balcony, Is Full Or Natural Light And Has An Incredible View Of The Sunrise. Highly Sought After Layout, 2 Bedroom Split + Office, That Feels Like A House. Large Living/Dining Area With An Open Kitchen, Spacious Principle Rooms With Walk-In Closets And Ensuite, 3 Bathroom, Oak Hardwood Floors Throughout."
C4940224,Unit 605 - 128 Pears Ave,Annex - Toronto,Condo Apt,"$ 2,749,000","$2,711,227",2020-10-10,,3 Bedrooms,3 Bathrooms,2 Garage,"$ 10,336","Condo Apt, Apartment",$1726/month,-,1600-1799 feet²,Apartment,,7 days,28 day(s),2020-10-05,2020-10-05,"$10,037",2.95%,Avenue /Davenport,"Bbqs Allowed, Concierge, Guest Suites, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",Se,Toronto,"Luxurious 3 Bedrm, 3 Bathrm Suite, 1785 Sf + Terrace & Mstr.Balcony. Exceptional Layout & Beautifully Appointed. Rare 2 Car Parking & Locker. This Home Has A Bright & Spacious Open Concept Layout With A Chefs Kitchen & W/O To A Terrace With Bbq Hookup. A Pristine Midrise Boutique Building For Those Who Love Solitude, Privacy & The Utmost In High-End Finishes. Gaggenau Appl. & Poliform Builtins. Steps To Yorkville Shops & Restaurants."
C4940164,Unit 405 - 128 Hazelton Ave,Annex - Toronto,Condo Apt,"$ 3,463,000","$3,352,469",2020-10-10,,2+1 Bedrooms,3 Bathrooms,2 Garage,$ -,"Condo Apt, Apartment",$1500/month,New,1400-1599 feet²,None,"water,heat",7 days,28 day(s),2020-10-05,2020-10-05,"$11,085",3.12%,Hazelton & Davenport,"Concierge, Gym, Media Room, Party/Meeting Room, Security System, Visitor Parking",N,Toronto,"Welcome To 128 Hazelton Avenue, Brand New Luxury Boutique Living Right In The Heart Of Yorkville. With Just 16 Neighbours, You Have The Ultimate Peace And Privacy. This Building Features An Exclusive Concierge With Valet And 24 Hour Security. Like Your Favourite Hotel, Only More Personal. High End Finishes Including Incredible Detail With Italian Marble, Intricate Millwork Design, Private Elevators And Luxurious Amenities."
C4936216,Unit 100 - 113 Dupont St,Annex - Toronto,Condo Apt,"$ 5,395,000","$5,080,601",2020-10-09,,2 Bedrooms,4 Bathrooms,3 Garage,"$ 13,905","Condo Apt, Apartment",$2215/month,11-15,4250-4499 feet²,None,water,11 days,29 day(s),2020-10-01,2020-10-01,"$16,770",2.85%,Bedford & Dupont,,N,Toronto,The Perfect Loft Condo With Direct Entry To One Of The Most Chic Residences In The City. Soaring Ceilings From 11' To As High As 14' In Some Areas Creates A Dramatic Environment For The Most Sophisticated Lifestyle. Unparalleled Quality Finishes And Brilliant Architectural Design Create An Open Concept Space That Is Both Brilliant And Welcoming. Remarkable Privacy And Terrace 33' X 14' Add To The Volume Of The Space. In Floor Radiant Heat In The Suite.
C4929854,Unit 1010 - 1 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 648,000","$575,859",2020-09-27,,1 Bedrooms,1 Bathrooms,0 Garage,$ -,"Condo Apt, Apartment",$333/month,New,0-499 feet²,None,,16 days,27 day(s),2020-09-26,2020-09-27,"$1,922",3.01%,Yonge / Bloor,,E,Toronto,Luxurious 1 Bedroom Unit In 1 Yorkville Condo With High-End Finishes. Fantastic Layout With Great Use Of Space. Integrated Kitchen Cabinetry And Quartz Countertop. Building To Have World-Class Amenities.
C4909612,Unit 1303 - 18 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 699,900","$662,213",2020-09-12,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,511","Condo Apt, Apartment",$427/month,-,0-499 feet²,None,"water,heat",32 days,28 day(s),2020-09-10,2020-09-12,"$2,479",2.99%,Yorkville/Yonge,"Security Guard, Security System, Recreation Room, Exercise Room, Sauna",Ne,Toronto,"Prime Yorkville Location. Sparkling One Bedroom With Floor-To-Ceiling Windows, Large Balcony, Granite Counters, Stainless Appliances, Mirrored Closet, Custom Blinds, Intelligent Layout With No Wasted Space. One Parking And Locker Included. Freshly Painted And Cleaned. Quick Walk To Louis Vuitton, Chanel, Gucci, Hazelton Lanes, Holt Renfrew, Fine Dining, Pusateri's, 2 Subways, Walking Paths, Whole Foods. 24 Hr Concierge, Visitor Parking, Party Room,Gym Onsite."
C4929040,Unit 404 - 128 Pears Ave,Annex - Toronto,Condo Apt,"$ 899,000","$832,788",2020-09-29,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,523","Condo Apt, Apartment",$601/month,-,700-799 feet²,None,heat,17 days,27 day(s),2020-09-25,2020-10-09,"$2,950",2.76%,Pears Ave/Avenue Rd,,N,Toronto,"Exquisite Boutique Condo Suite In The Long Awaited ""The Perry"". Steps From The Liveliness Of Yorkville And Bloor, Yet Grounded In The Peaceful And Sophisticated Spirit Of The Neighborhood At Avenue & Davenport. Offering The Best Of Intimate Boutique Living In The Heart Of The City. Underground Parking Spot, Green Unobstructed Views, Balcony, Outdoor Serenity Terrace. B/I Appliances. Kitchen, Wardrobes And Spacious Open Concept Living. One Parking Included"
C4903011,Unit 2802 - 18 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 1,850,000","$1,775,296",2020-10-12,,2 Bedrooms,2 Bathrooms,2 Garage,"$ 6,363","Condo Apt, Apartment",$1046/month,-,1200-1399 feet²,None,"water,heat",34 days,28 day(s),2020-09-08,2020-10-08,"$6,371",2.91%,Yonge & Yorkville,"Bbqs Allowed, Concierge, Exercise Room, Party/Meeting Room, Visitor Parking",Se,Toronto,"Welcome To 18 Yorkville, Luxury Living In The Heart Of Yorkville! This High Floor Southeast Corner Unit On The 28th Floor Features An Abundance Of Natural Sunlight With An Unobstructed East View Overlooking Rosedale Valley. Newly Renovated W/ New 36X36 Porcelain Matte Finished Tile, Engineered Hardwood, Kitchen W/ Quartz Counters & Backsplash, Generously Sized Principal Rooms, Walk-In Closet, Stylish Light Fixtures, & More!"
C4943107,Unit 1814 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 488,888","$425,808",2020-10-11,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 4,400","Condo Apt, Apartment",$679/month,0-5,500-599 feet²,None,"water,heat",6 days,28 day(s),2020-10-06,2020-10-09,"$2,246",2.89%,Avenue Rd/ Yorkville Ave,"Concierge, Exercise Room, Gym",W,Toronto,"Spacious Condo Located In The Heart Of Yorkville! Located On One Of Toronto's Most Prestigious Streets. Gorgeous Open Concept Layout, Modern Kitchen, Floor To Ceiling Bay Window. No Wasted Space. Turn Key Suite! Close To U Of T, Ttc, Subway, High End Shopping, Restaurants, Rom And More!"
C4929097,Unit 1213 - 188 Cumberland St,Annex - Toronto,Condo Apt,"$ 569,900","$554,250",2020-09-26,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,163","Condo Apt, Apartment",$317/month,-,0-499 feet²,None,"water,heat",17 days,27 day(s),2020-09-25,2020-09-25,"$1,981",2.89%,Avenue Rd / Bloor St,"Concierge, Gym, Media Room, Security Guard, Visitor Parking",Nw,Toronto,"Brand New Luxurious 1 Bedroom Unit Located In The Heart Of Toronto's Most Prestigious & Vibrant Neighborhood Of Yorkville. Smooth Ceiling, Laminate Flooring Throughout. Large Floor To Ceiling Windows, Designer Kitchen W Quartz Top & Integrated Appliances. Spa-Like Bathroom W Porcelain Tiles, & More! Steps To Luxury Flagship Stores, Rom, U Of T, Subway, Restaurants & All Other Essential Amenities!"
C4921442,Unit 1502 - 170 Avenue Rd,Annex - Toronto,Condo Apt,"$ 749,000","$746,496",2020-09-21,,1 Bedrooms,1 Bathrooms,1 Garage,"$ 2,950","Condo Apt, Apartment",$397/month,0-5,500-599 feet²,None,"water,heat",21 days,27 day(s),2020-09-21,2020-09-21,"$2,500",2.68%,Avenue Road / Davenport,"Concierge, Gym, Party/Meeting Room, Security Guard, Visitor Parking",S,Toronto,"Great Location,:Pears On The Avenue"",Very Bright,Luxurious One Bdrm, South Facing Balcony Overlooking Downtown, Floor To Ceiling Windows, 24Hr Concierge, Steps To All Conveniences, T.T.C, Shopping, Cafe's, Yorkville, Ramsden Park, Luxuriously Designed With World Class Amenities, Indoor Swimming Pool & Whirlpool, Gym, Yoga/Meditation Deck, Multi Purpose Party Room. Boardroom/Screening Rm, Terrace, Guest Suite, Vistor Parking"
C4936198,Unit 307 - 18 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 698,000","$657,514",2020-10-09,,1+1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,981","Condo Apt, Apartment",$491/month,-,600-699 feet²,Apartment,"water,heat",11 days,29 day(s),2020-10-01,2020-10-02,"$2,450",2.76%,Yonge & Yorkville,"Concierge, Gym, Party/Meeting Room, Sauna, Security Guard, Visitor Parking",Sw,Toronto,"Welcome To Suite 307 At 18 Yorkville. Arguably One Of The Best Addresses In The City. This Spacious 1 Bed + Den Features A Bright Open Concept With A Magnificent Exposure Looking Directly Into The Treetops Of Town Hall Square. A Very Tranquil View In The Heart Of The City. Den Can Be Used As Office, 2nd Bedroom Or Dining Room. Steps To 5-Star Hotels, Restaurants, Shopping, Museums, University Of Toronto, Ttc & The Very Best Toronto Has To Offer. Walk Score 99"
C4906623,Unit 3013 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 1,289,000","$1,262,957",2020-09-10,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 7,500","Condo Apt, Apartment",$1095/month,-,1000-1199 feet²,None,"water,heat",32 days,28 day(s),2020-09-10,2020-09-10,"$4,997",2.74%,Yorkville/Avenue Rd,,Sw,Toronto,"Yorkville Plaza Says It All. Rarely Available Highest Floor.Gorgeous 2 Bedroom Suite In The Heart Of Yorkville,Smart Floor Plan Over 1000 Sq.Ft. Bright & Spacious,Perfect For A Professional/Executive/Corporate. Steps To The Most Luxurious Shops & Restaurants. Stay In The Middle Of Fashion District With A Fraction Of The Cost.Gorgeous South/West View,Steps To Subway And More..."
C4937734,Unit 409 - 3 Mcalpine St,Annex - Toronto,Condo Apt,"$ 995,000","$1,068,299",2020-10-09,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 3,552","Condo Apt, Apartment",$1081/month,-,1000-1199 feet²,None,"water,heat",10 days,29 day(s),2020-10-02,2020-10-05,"$4,130",2.72%,Bay & Davenport,"Concierge, Exercise Room, Guest Suites, Party/Meeting Room, Visitor Parking",E,Toronto,"The Domus! Incredible Value For This Beautifully Renovated 1000 Sf Unit In Upper Yorkville. Split Bedrooms With 2 Bathrooms. Open Concept Living & Dining Room Overlooks Quiet Courtyard. Large Window Allows For Natural Light. Renovated Lobby And Hallways. Steps To Everything Yorkville Has To Offer. 24 Hr. Concierge, Exercise Rm, Guest Suites, Party Room. Shows Like A Model Suite. 1 Premium Parking Space."
C4922063,Unit 2508 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 880,000","$907,436",2020-10-12,,2 Bedrooms,2 Bathrooms,0 Garage,"$ 5,700","Condo Apt, Apartment",$823/month,-,700-799 feet²,None,"water,heat",21 days,28 day(s),2020-09-21,2020-10-08,"$3,600",2.67%,Avenue Rd And Yorkville,"Concierge, Gym, Party/Meeting Room, Security Guard, Security System",S,Toronto,"Welcome To The Yorkville Plaza! Beautiful, Sun-Filled 2 Bedroom, 2 Bath 750 Sqft Corner Unit With A Breathtaking S/E View Of Toronto. This Open Concept, Modern And Spacious Suite Is A Short Walk From The Subway, Shopping On Bloor St, High End Boutiques And Restaurants In Yorkville. Extras:Built In Fridge, Oven, Microwave, Dishwasher, Washer & Dryer. Brkage Remks:Please Attach Sch. B And Form 801 To All Offers. Buyer And Buyer Agent To Verify Taxes And All"
C4922078,Unit 1718 - 155 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 918,000","$939,667",2020-09-22,,2 Bedrooms,2 Bathrooms,0 Garage,"$ 5,744","Condo Apt, Apartment",$771/month,0-5,700-799 feet²,None,"water,heat",21 days,27 day(s),2020-09-21,2020-10-08,"$3,600",2.66%,Yorkville/ Avenue,,Nw,Toronto,"Nestled In The Heart Of Yorkville, This Luxurious 2 Bedroom Condo Offers The Best Of The City. An Unobstructed View Of The North West Corner Of Yorkville Ave Draws Plenty Of Natural Light Into An Open Concept Living Space With Built In Appliances, Bay Windows, Custom Cabinetry And Stone Counter Tops. Experience Toronto's Extravagant Luxury Retail, Dining, Cafe's And Entertainment. Minutes To U Of T, Ago, Ttc, Rom, Ryerson, Ocad, Hospital & Library."
C4931315,Unit 903 - 170 Avenue Rd,Annex - Toronto,Condo Apt,"$ 619,000","$631,942",2020-09-28,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,555","Condo Apt, Apartment",$370/month,-,0-499 feet²,None,"water,heat",14 days,27 day(s),2020-09-28,2020-10-09,"$2,025",2.45%,Avenue Rd/Davenport,"Concierge, Gym, Indoor Pool, Party/Meeting Room, Rooftop Deck/Garden, Sauna",S,Toronto,"Welcome To Pears On Avenue Located In The Heart Of The Annex. This Practical South Facing One Bedroom Unit That Overlooks Yorkville, A City View With A Hint Of Greenery Giving You Complete Privacy With No Direct Obstruction. Freshly Painted With 9Ft Ceilings. Hardwood Flooring Through-Out, Integrated Appliances And Sizable Bathroom With Soaker Tub. Spa Like Amenities From Indoor Pool, Outdoor Lounge, Party Room & A Dramatic 3-Storey Lobby To Welcome You Home!"
C4944991,Unit 317 - 18 Yorkville Ave,Annex - Toronto,Condo Apt,"$ 739,000","$628,533",2020-10-11,,1+1 Bedrooms,1 Bathrooms,1 Garage,"$ 3,274","Condo Apt, Apartment",$464/month,-,600-699 feet²,None,"water,heat",5 days,28 day(s),2020-10-07,2020-10-07,"$2,275",2.6%,Yonge & Bloor,,E,Toronto,"Location Location Location! Live At One Of The Most Exclusive Streets In Toronto Located Steps From Four Seasons Hotel/Residences And Some Of The Most Exclusive Future Developments. Amazing Investment, Close To Public Transit, Restaurants, Libraries & Much More. Featuring 9 Ft Ceilings, 1+1 Bedroom With The Den Potentially Used As Second (2nd) Bed, Stainless Steel Appliances, Exceptional Layout & A Neighborhood To Live & Enjoy."
C4884619,Unit 306 - 102 Bloor St W,Annex - Toronto,Condo Apt,"$ 689,000","$713,603",2020-09-08,,1 Bedrooms,1 Bathrooms,0 Garage,"$ 2,621","Condo Apt, Apartment",$581/month,-,600-699 feet²,None,"water,heat",48 days,28 day(s),2020-08-25,2020-09-08,"$2,582",2.66%,Just West Of Bay On Bloor,"Bike Storage, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Sauna",E,Toronto,"Rare Prime Condo Opportunity In The Heart Of Toronto's Exclusive Yorkville Neighborhood. This Peaceful 3rd Floor Unit Features A Short Elevator Ride, A Private Balcony With Overhanging Trees, And A Contemporary, Yet Classic Look With 9 Foot Ceilings. The Suite Is In Excellent Shape And Boasts An Extremely Efficient, Well-Planned Layout - Not A Square Foot Is Wasted. With 24-Hour Concierge, Roof-Top Terrace, Party Room And Gym, It's A Great Value!"
C4895919,Unit 1808 - 88 Cumberland St,Annex - Toronto,Condo Apt,"$ 1,348,000","$1,360,741",2020-09-16,,2 Bedrooms,2 Bathrooms,1 Garage,$ -,"Condo Apt, Apartment",$620/month,New,800-899 feet²,None,heat,41 days,27 day(s),2020-09-01,2020-09-16,"$3,815",2.57%,Bay & Yorkville,"Concierge, Exercise Room, Gym, Party/Meeting Room, Rooftop Deck/Garden, Security System",Se,Toronto,"Welcome To The Highly Anticipated Luxurious Yorkville Park At 88 Cumberland. Located In The Heart Of Yorkville, This Landmark Building Is Arguably One Of The Best Locations In The Country. This Corner Suite Features A Beautiful Unobstructed South-Eastern Exposure, A Functional 2 Bedroom Split Floor Plan W/ Rare 10' Ceilings! Steps To The Very Best The City Has To Offer Including 5-Star Hotels, Fine Restaurants, U Of T & Much More. 1 Parking Included."
C4922727,Unit 1504 - 170 Avenue Rd,Annex - Toronto,Condo Apt,"$ 925,000","$950,013",2020-09-29,,2 Bedrooms,2 Bathrooms,1 Garage,"$ 4,283","Condo Apt, Apartment",$590/month,-,800-899 feet²,None,"water,heat",20 days,27 day(s),2020-09-22,2020-09-29,"$3,075",2.4%,Avenue & Davenport,,Sw,Toronto,"Live In Yorkville/Annex Luxurious Corner Suite - Incredible Views. Floor To Ceiling Wall To Wall Windows. Spacious Open Living And Dining Room, Modern Kitchen. Hardwood Floors, Ensuite Laundry, Integrated Appliances, Very Bright W/ Floor To Ceiling Windows. Superb Amenities Including Indoor Pool, Gym, Theatre, Yoga Studio, Outdoor Terrace, Combined With A Fabulous Location. Across From Ramsden Park, Short Walk To Subway, Whole Foods. Parking Incl"
