Listing_num,Address,Community,House_type,Listing_price,Sigma_estimate,Estimated_on,Sold_price,Bedroom,Washroom,Parking,Tax,Property_type,Maintenance,Building_age,Size,Basement,Utility_incl,Days_on_market,Rental_dom,Listed_on,Updated_on,Rental_estimate,Rental_yield,Major_intersection,Amenities,Exposure,Municipality,Description
C4917868,Unit 618 - 70 Roehampton Ave,Mount Pleasant West - Toronto,Condo Apt,688000.0,681278.0,2020-09-30,655000.0,1+1,1,1,2825.0,"Condo Apt, Apartment",420.0,,600-699 feet??,,water,20,17.0,2020-09-17,2020-10-08,2142.0,2.44,Yonge & Eglinton,"Concierge, Guest Suites, Gym, Party/Meeting Room, Sauna, Visitor Parking",W,Toronto,"Republic By Tridel. Stunning Luxury Suite. Prime Location At Yonge/Eglinton. 1 Bedroom And Den With Parking And Storage Locker, Clear Unobstructed West View. Stainless Steel Kitchen Appliances, Kitchen Island With Granite Counter. State Of The Art Amenities. 5 Minute Walk To Subway, Restaurants, Shops."
C4903136,Unit 816 - 637 Lake Shore Blvd W,Niagara - Toronto,Condo Apt,699900.0,700942.0,2020-09-23,695000.0,1,1,1,2600.0,"Condo Apt, Loft",498.0,15-Nov,600-699 feet??,Other,water,29,14.0,2020-09-08,2020-10-10,2215.0,2.42,Lake Shore & Bathurst,"Bike Storage, Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",N,Toronto,"Bishop & Millers 1920'S Art Deco Masterpiece! Tip Top Lofts, Located On Toronto's Waterfront, Bright, Sun Filled 2 Story Loft, Approx 638 Sq/Ft. Features W/O Private Balcony, S/S Appliances, Premium Parking Space & Locker. Steps To Mark Goodman Waterfront Trail, New Flagship Lablaws/Retail. Top Shelf Gym, Party Room & Communal Roof Top Terrace. Walk To Park, Off Leash Dog Park, Lake, Ferry, Island Airport, Budweiser Stage, Bmo Field, Queens Quay Shops & Rest"
C4901687,Unit 1607 - 285 Mutual St,Church-Yonge Corridor - Toronto,Condo Apt,657900.0,657699.0,2020-09-30,642000.0,1+1,1,1,2685.0,"Condo Apt, Apartment",718.0,15-Nov,700-799 feet??,,"water,heat",29,22.0,2020-09-08,2020-10-08,2199.0,2.05,Jarvis & Carlton,"Concierge, Exercise Room, Party/Meeting Room, Recreation Room, Sauna",S,Toronto,"Radio City. A Bright And Spacious 16th Floor 1 + 1 Condo. Spectacular Views. The Floorplan Is Unique, With No Wasted Space. 9' High Ceilings. Stainless Steel Appliances, Wood- Tiled Large Balcony, Huge Floor-Ceiling Windows In The Bedroom, Suite Is One Of The Larger 1+1'S In Bldg, Den Has Been Used As A 2nd Bdrm With Closet! Parking And Locker Included. Fabulous Amenities, And A Wonderful Community."
C4891637,Unit Th33 - 80 Carr St,Kensington-Chinatown - Toronto,Condo Townhouse,689000.0,707270.0,2020-09-25,655000.0,2,1,1,2501.0,"Condo Townhouse, Stacked Townhse",473.0,,700-799 feet??,,water,37,11.0,2020-08-31,2020-10-07,2775.0,3.41,Queen & Bathurst,,N,Toronto,"Perfectly Located @ Queen & Bathurst Between Trendy Queen West & Kensington Market. Open Concept Home Offers 2 Bedrooms,1 Bath, Kitchen Equipped With Stainless Steel Appliances, Pantry For Ample Storage, A Beautiful Terrace With Bbq Gas-Line. Steps To The Park, Queen St, Kensington, Bellwoods, 24 Hr Transit At Doorstep, & Parking Included And Entrance To Underground Parking Conveniently Located In Front Of The Unit! - Peaceful Downtown Living At Its Best!"
W4933938,341 Harvie Ave,Caledonia-Fairbank - Toronto,Detached,698000.0,738842.0,2020-09-30,750000.0,2,1,1,2969.0,"Detached, Bungalow",,100+,1100-1500 feet??,Unfinished,,6,17.0,2020-09-30,2020-10-07,2004.0,2.7,Eglinton & Caledonia,,E,Toronto,"Situated On A 25 Wide X 150 Deep Lot, This Bright 2 Bedroom Bungalow Is The Perfect Starter Home Or Why Not Build Your Dream Home! It Has The Bonus Of A Private Drive With Parking For 3 Cars, A 4 Piece Bathroom In The Basement And A Recreation Room Which Awaits Your Finishing Touches. This Quiet, Family Friendly Neighbourhood Is Conveniently Located Minutes From The Eglinton Crosstown Lrt And Is In Walking Distances To Schools, Parks, Restaurants, Your Local"
C4932242,Unit 1708 - 8 Charlotte St,Waterfront Communities C1 - Toronto,Condo Apt,589800.0,603778.0,2020-09-29,662000.0,1,1,0,2315.0,"Condo Apt, Apartment",465.0,15-Nov,500-599 feet??,,water,7,20.0,2020-09-29,2020-10-08,1875.0,2.21,King & Spadina,"Bike Storage, Concierge, Gym, Outdoor Pool, Party/Meeting Room, Rooftop Deck/Garden",SW,Toronto,"Bright 1 Bedroom With 2 Lockers In The Luxury ""Charlie"" Condos. Completely Furnished 630 Sqft- 580+50 Sqft Balcony With Unobstructed West Views Of Lake And Beyond. Light Filled, Stunning Finishes. Functional Open Concept Layout, 9' Ceilings, Upgraded Wood Flooring, Bosch Appliances, Floor To Ceiling Windows. Move In Or Use As An Investment Property. Located In The Heart Of Toronto's Entertainment District, Ttc, Financial District, And Top Restaurants."
W4930771,Unit 203 - 1110 Briar Hill Ave,Briar Hill-Belgravia - Toronto,Condo Townhouse,629000.0,574502.0,2020-09-28,610000.0,2,1,1,2315.0,"Condo Townhouse, Apartment",298.0,0-5,700-799 feet??,,,8,23.0,2020-09-28,2020-10-06,2235.0,3.34,Dufferin & Briar Hill,,E,Toronto,"Absolutely Stunning. Priced To Sell! Just Painted! Upgraded Cabinets, Countertops, Backsplash, Baseboards, Doors, Shower, Faucets, Light Fixtures. This Gorgeous 2 Bed Condo Townhouse Has Everything You're Looking For And A Patio To Relax On. Walking Distance To Transit, Shopping, Schools, Malls Churches And So Much More."
W4924127,234 Blackthorn Ave,Weston-Pellam Park - Toronto,Semi-Detached,699900.0,775203.0,2020-09-27,675000.0,3,2,0,2872.0,"Semi-Detached, 2-Storey",,51-99,1100-1500 feet??,Fin W/O,,13,9.0,2020-09-23,2020-10-06,2645.0,3.62,St Clair & Caledonia,,W,Toronto,"Great Location & Ideal For First Time Buyers, Investor And/Or Contractor. The Property Requires Tlc, Waiting For Your Personal Touches. 3 Bedrooms, 2 Bathrooms, Semi Detached Property With Huge Potential. Separate Entrance To Basement Walk Out. Roof 2013, Eave Troughs Repaired 2019, A/C & Gas Furnace 2017."
C4923757,Unit 606 - 510 King St E,Moss Park - Toronto,Condo Apt,629900.0,641103.0,2020-09-29,604500.0,1+1,1,1,2567.0,"Condo Apt, Apartment",476.0,10-Jun,700-799 feet??,,"water,heat",14,15.0,2020-09-22,2020-10-06,2325.0,2.88,King & Sumach,"Concierge, Gym, Party/Meeting Room",W,Toronto,"Corktown Lofts, 700 Sq. Ft. One Plus Den, Large Terrace With Incredible City Skyline Views, Gas & Bbq Outlet, 10 Ft Ceilings, Polished Concrete Floors, Stainless Steel Appliances In The Heart Of Corktown. Sun Filled Extra Wide Corner Unit. Floor To Ceiling Windows. Den Can Be Closed Off If Second Room Reqd. Parking Incl."
C4914338,Unit 805 - 38 Niagara St,Waterfront Communities C1 - Toronto,Condo Apt,629000.0,647309.0,2020-09-24,605000.0,1+1,1,0,2249.0,"Condo Apt, Apartment",409.0,15-Nov,600-699 feet??,,"water,heat",20,20.0,2020-09-16,2020-10-06,1923.0,2.26,King & Bathurst,"Bbqs Allowed, Party/Meeting Room, Security System",S,Toronto,"Sought-After Zed Lofts! This 1 Bd + Den Is Picture-Perfect! Rare Rectangular Layout W/ A Kitchen Big Enough For A Generous Island, A Fireplace W/Mantle In The Living Room For Cozy Nights & A Dining Area That Can Seat 6! Yes, 6!!! Oh, And Did We Mention The South Facing Balcony W/ Peak-A-Boo Lake Views?! All In A Boutique Building (Read Great Investment!) In Trendy King West & Close To The Gardiner, Lake, Park, Restaurants! It Doesn't Get Any Better Than This!"
C4913342,Unit 3704 - 37 Sudbury St,Niagara - Toronto,Condo Townhouse,749000.0,781772.0,2020-10-01,715000.0,2,1,1,2755.0,"Condo Townhouse, 3-Storey",455.0,,800-899 feet??,,"water,hydro,heat",21,13.0,2020-09-15,2020-10-09,2305.0,2.36,Sudbury & Dovercourt,"Bbqs Allowed, Rooftop Deck/Garden",NE,Toronto,"Opportunity Knocks! Imagine Living In A Little Stretch Of Suburbia, On A Cute Tree Lined Street, Nestled Between West Queen West, King W + Liberty Village. Looking For Outdoor Space? Look No Further Than Your Rooftop Terrace Where You Can Spot The Cn Tower. Cozy Fireplace? You'll Find That Too. Say Goodbye To The Popcorn Ceiling + Hello To The Updated Kitchen, Bath + Floors. And The Extras - All Utilities Are Incl. In Maintenance!"
E4910427,9 Weymouth Ave,Crescent Town - Toronto,Semi-Detached,679000.0,790922.0,2020-09-20,615000.0,3,2,0,2576.0,"Semi-Detached, 2-Storey",,,1300 feet?? (SigmaEstimate??),Finished,,24,10.0,2020-09-12,2020-10-08,2860.0,3.89,Danforth & Victoria Pk,,S,Toronto,"East York Semi Enclosed Porch, Walk To Danforth Ave, Public Transit (Ttc), Subway, Shopping Centre, Schools, Parks"
C4930504,Unit 1629 - 525 Adelaide St W,Waterfront Communities C1 - Toronto,Condo Apt,699000.0,741522.0,2020-09-28,723000.0,2,2,1,2447.0,"Condo Apt, Apartment",451.0,0-5,700-799 feet??,,,7,20.0,2020-09-28,2020-10-05,3198.0,3.83,Bathurst & Adelaide,,SW,Toronto,"Gorgeous & Bright 2 Bedroom + 2 Full Bath Corner Suite Located In Prime King West Village Features A Modern Kitchen With Granite Countertops, A Pantry & Full Size Stainless Steel Appliances, Beautiful Laminate Floors Throughout, Custom Roller Blinds & Stunning Upgraded Light Fixtures!1 Parking & 1 Locker Included.Surrounded By Trendy Local Restaurants,Bars,Stylish Shops & Nightlife.24Hr Concierge,Gym,Pool,Hot Tubs,Sauna,Steam Room,Party Room & 3 Guest Suites"
W4930352,236 Wiltshire Ave,Weston-Pellam Park - Toronto,Condo Townhouse,658000.0,685045.0,2020-09-28,701000.0,2,1,0,2183.0,"Condo Townhouse, Stacked Townhse",322.0,,1000-1199 feet??,,water,7,32.0,2020-09-28,2020-10-07,2193.0,2.62,North Davenport & W Landsdowne,,E,Toronto,"Bright And Shiny Upper 2 Bedroom End Unit Townhome. Master Bedroom With Wall To Wall Built In Closet Organizers. Open Concept Living/Dining And Kitchen Area With Walkout To Gorgeous West Facing Covered Deck. Spiral Staircase Down To Above Grade, Owned Parking Space In Quiet Complex Steps To Ttc, Earlscourt Park And Community Centre. Recent Paint And New Carpet In This 1100 Sq Ft Professionally Cleaned And Virtually Staged Home. Shows Beautifully!! Act Fast!"
E4928609,Unit Th 7 - 150 Broadview Ave,South Riverdale - Toronto,Condo Townhouse,599000.0,604685.0,2020-10-08,585000.0,1+1,1,0,2447.0,"Condo Townhouse, Multi-Level",241.0,,700-799 feet??,"Finished, None",water,10,9.0,2020-09-25,2020-10-11,1868.0,2.73,Queen & Broadview,Bike Storage,N,Toronto,"Gorgeous Victorian Inspired Executive Riverside Towns. Over 700 Square Feet Of Stunning Space. The Unit Features 1+1 Bedrooms. Den Can Be Used As A 2nd Bdrm, Upgraded Kitchen W/Stainless Steel Appliances Including A Gas Stove, Engineered Hardwood Throughout, Bright Open Concept Living Space. This Prime Location Is Steps To Great Restaurants, The Broadview Hotel, Boutiques, Cafe's, Parks, Transit Highways. Virtual Tour Available"
C4917985,Unit 848 - 68 Abell St,Little Portugal - Toronto,Condo Apt,675000.0,727384.0,2020-09-22,675000.0,2,2,1,2555.0,"Condo Apt, Apartment",654.0,0-5,800-899 feet??,,"water,heat",17,13.0,2020-09-18,2020-10-08,2435.0,2.44,Queen Street W,"Concierge, Gym, Party/Meeting Room, Rooftop Deck/Garden, Visitor Parking",W,Toronto,"Spectacular Two Bedroom Suite At Epic On Triangle Park. Bright And Very Spacious With West Facing Views! This Suite Features A Very Functional Two Bedroom Floor Plan With Gleaming Laminate Flooring, Kitchen With Stainless Steel Appliances And Granite Countertops. Parking And Locker Also Included! Situated In The Heart Of Queen West! One Of Toronto's Trendiest Neighbourhoods! Steps To Transit, Restaurants, Bars, Coffee Shops, Stores, Theatres & So Much More!"
C4917935,Unit Th71A - 65 East Liberty St,Niagara - Toronto,Condo Townhouse,695000.0,754405.0,2020-09-29,860000.0,2,2,1,2881.0,"Condo Townhouse, 2-Storey",617.0,10-Jun,900-999 feet??,,"water,heat",17,13.0,2020-09-18,2020-10-05,2856.0,3.02,King Street W & Strachan Ave,"Bbqs Allowed, Concierge, Games Room, Gym, Indoor Pool",N,Toronto,"2-Storey Townhouse At King West Condos. Situated In Liberty Village Steps From Restaurants, Shops, Ttc & More. Convenient Private Entrance From Courtyard & Street. This Modern Updated Suite Features Soaring 17""6 Ceilings, Floor To Ceiling Windows, Fabulous Open Concept Kitchen With Granite Counters, Breakfast Bar & S/S Appliances, Spacious Master Bedroom With Walk-In Closet & 4 Pc Bath, Glass Shower. Approx. 1,000 Sf + Courtyard!!"
C4905137,Unit 3515 - 70 Queens Wharf Rd,Waterfront Communities C1 - Toronto,Condo Apt,619000.0,626477.0,2020-09-18,595000.0,1+1,1,0,2042.0,"Condo Apt, Apartment",364.0,,500-599 feet??,,"water,heat",26,20.0,2020-09-09,2020-10-05,2042.0,2.67,Bathurst & Fort York Blvd,"Concierge, Indoor Pool, Party/Meeting Room, Recreation Room, Security Guard",S,Toronto,"**Brand New ""Forward Condos"" Breathtaking High Floor Suite & South/Lake Views *One Bedroom + Separate Den **This Suite Features Modern Kitchen: Premium Built-In Appliances, Quartz Countertop, Marble Backsplash/Valance Lt **Spa-Like Bath With Marble Tiles *Full Size Front Load Washer & Dryer *Mirror Closet/Quality Laminate Fl / Roller Shades."
W4903121,Unit 645 - 24 Southport St,High Park-Swansea - Toronto,Condo Apt,599000.0,609305.0,2020-09-17,590000.0,2,1,2,1907.0,"Condo Apt, Apartment",1000.0,,900-999 feet??,,"water,hydro,heat",27,14.0,2020-09-08,2020-10-09,2747.0,2.92,South Kingsway & The Queensway,"Exercise Room, Indoor Pool, Recreation Room, Sauna, Security Guard, Visitor Parking",SE,Toronto,"** South Kingsway Village ** Bright Corner Suite! Renovated! Approx. 950 Sq Ft! Gorgeous Open Kitchen With Granite Counters + Under Cabinet Lights!! S/S Appliances! Pot Lights! Mirrored Walk-In Closet! Freshly Painted! Floor To Ceiling Windows! Large Locker! 2 Parking Spaces! Well Managed Complex With Fabulous Amenities! Bbq Courtyard! Great Location Close To Shops, High Park, Lake, Gardiner, Ttc, Bus To Subway + Bloor West Village!"
